BOLOGNA C.LE,CASTEL S.PIETRO TERME
10.5,6.5
2.0,5.5
-2.5,-0.5
44.0,38.0
57.0,56.0
1.0,2.0
5.5,2.0
42.0,43.5
-1.0,1.0
-2.0,0.0
3.0,2.5
-3.5,0.5
2.0,1.5
-2.0,-1.5
0.0,3.5
6.5,4.5
0.5,-0.5
2.0,-1.5
-1.5,-2.0
3.0,3.0
1.0,-1.0
-1.0,2.0
4.5,3.5
27.5,50.0
31.0,32.0
2.5,4.0
1.5,-1.0
66.0,61.0
9.5,7.0
1.5,0.5
-2.0,2.5
1.5,5.0
1.0,1.5
2.5,2.5
2.0,0.0
1.0,0.5
-1.0,1.5
43.5,39.5
1.0,1.5
3.0,3.5
-2.0,-1.5
5.0,2.5
1.5,-1.5
-2.5,0.0
7.0,6.0
41.0,40.5
-2.5,-1.0
3.5,4.0
6.5,3.0
2.5,2.0
2.5,0.0
2.0,5.5
35.5,31.0
5.0,4.0
1.0,-0.5
2.0,3.5
8.5,5.0
-0.5,1.5
1.5,-0.5
-1.5,-1.0
11.0,9.5
3.5,1.0
-3.0,5.0
0.5,0.0
-0.5,1.0
0.5,-0.5
-2.0,0.0
13.5,9.5
3.0,0.5
2.0,5.5
4.0,0.0
2.5,-0.5
-2.5,0.0
2.5,3.0
2.5,3.0
9.5,10.0
-3.5,1.5
101.0,103.5
2.5,4.0
1.0,-0.5
-0.5,1.5
3.0,1.0
3.0,-1.5
52.0,49.0
3.0,1.0
2.5,3.0
-1.5,1.0
26.0,24.5
7.5,6.0
3.5,3.0
-0.5,4.0
-1.0,1.0
2.5,2.0
2.5,2.0
0.0,-1.5
2.5,0.5
2.0,0.5
-0.5,-1.0
2.0,3.5
4.5,0.5
1.0,0.5
3.0,2.5
7.0,4.5
4.0,0.0
11.0,9.0
21.0,17.0
-1.5,3.0
2.0,31.5
1.5,0.0
-2.0,1.0
2.0,7.0
152.0,147.0
2.0,4.5
6.0,4.5
6.5,5.0
5.0,3.5
1.0,4.0
12.0,9.0
3.0,7.0
-2.5,3.5
38.0,36.5
3.5,1.5
2.5,0.0
-2.5,4.0
-2.5,-2.5
1.5,1.0
10.0,7.0
6.5,4.0
4.5,0.0
11.5,7.5
-2.0,0.5
62.0,63.5
2.0,0.5
-2.5,3.0
4.0,0.5
-1.0,-1.0
-0.5,0.5
1.0,1.0
4.5,3.5
7.5,3.0
13.0,11.0
2.5,0.5
