BOLOGNA C.LEAV,MILANO ROGOREDO
7.0,8.0
-0.5,0.5
-3.0,5.5
0.5,2.0
-1.5,-1.5
0.0,-0.5
7.0,9.5
0.5,-0.5
-1.0,0.5
-1.5,0.0
-3.5,-1.0
14.0,11.5
-1.5,-2.5
3.5,5.0
5.5,15.5
7.0,7.5
-1.5,0.0
-1.0,2.0
2.5,4.5
-3.5,-2.0
-1.5,-1.5
-2.5,-3.0
-3.0,-1.0
2.0,0.0
383.5,380.5
-1.0,-1.5
2.5,0.5
8.0,5.0
20.5,18.5
19.0,18.0
5.0,3.5
-3.0,1.0
0.0,6.0
-2.0,-2.0
1.5,3.5
6.5,9.5
1.5,5.5
-1.0,-1.5
-1.0,-2.5
15.5,13.5
1.5,-2.0
2.5,7.0
-3.5,1.0
12.0,11.0
3.0,2.5
-2.5,1.0
6.5,6.0
0.5,5.5
7.0,10.0
1.5,1.0
-1.0,-1.0
2.0,2.5
5.5,10.0
0.0,2.5
5.5,7.5
7.5,7.5
2.0,0.5
2.0,3.0
24.5,21.5
-2.5,-1.0
11.0,7.0
14.5,13.0
8.5,7.5
6.5,10.5
6.5,8.0
-3.0,-2.0
7.5,7.5
14.5,15.0
-2.0,3.5
-3.5,6.5
6.0,7.0
2.0,0.5
5.5,3.5
7.5,9.5
20.0,39.5
0.0,-0.5
-2.0,-0.5
-1.5,-1.0
22.0,66.5
-2.0,2.0
-2.0,-3.0
4.5,1.5
1.5,0.5
10.0,11.0
-1.5,-1.0
1.0,1.5
-3.0,-2.5
7.5,9.5
-2.5,-2.5
-2.0,-2.0
0.5,2.0
-1.0,1.5
-0.5,-1.0
4.0,2.5
13.5,11.0
-4.0,-1.0
-2.0,-0.5
0.0,-0.5
1.0,-1.0
3.5,5.5
-2.5,-2.5
-2.0,-1.5
2.5,0.0
11.5,7.0
50.0,56.0
8.0,9.0
6.0,2.0
1.0,2.0
12.0,12.5
12.0,8.0
6.5,7.0
-2.5,2.0
9.0,9.0
4.5,2.0
4.0,2.5
12.5,12.0
2.0,6.5
-2.0,-1.0
18.0,26.0
19.5,23.0
1.0,127.0
-2.5,2.0
-2.5,-4.0
2.5,11.5
12.5,10.0
-3.0,-2.5
9.0,5.0
-1.0,1.0
2.5,-1.0
-3.0,-5.0
4.0,2.5
-2.5,-4.0
-2.5,-5.0
0.5,-0.5
42.0,45.0
0.5,13.0
3.5,3.0
-2.0,-3.0
9.0,4.5
5.5,3.0
