FERRARA,ROVIGO
-2.0,4.5
30.0,33.0
5.0,10.0
1.0,1.0
13.0,14.5
45.5,46.0
-2.5,-1.0
0.5,3.0
9.0,10.0
8.0,7.5
1.5,0.5
27.0,27.0
74.0,119.5
34.0,38.0
8.0,10.5
3.5,3.5
-3.0,-0.5
6.5,8.0
5.5,8.5
-1.5,2.5
0.5,2.0
-3.5,-1.0
1.0,1.5
23.0,22.0
38.0,38.5
0.5,0.5
19.0,23.5
13.0,13.5
0.5,1.0
16.0,17.0
2.5,7.0
2.0,11.0
9.5,9.5
-1.0,1.0
13.0,13.5
2.5,3.5
3.5,6.5
2.5,5.5
-2.0,-1.0
10.0,9.0
33.0,33.5
3.0,2.5
5.0,4.5
57.0,60.0
12.5,14.0
18.5,19.5
-1.0,-1.0
10.5,12.0
3.5,4.5
21.0,21.0
2.0,7.0
4.0,6.5
-4.0,-1.0
6.0,6.0
24.5,27.0
2.0,12.0
63.5,83.5
17.5,18.5
6.5,7.0
13.0,12.5
11.5,14.0
18.5,18.0
2.0,7.5
0.0,3.5
-1.0,2.0
0.0,0.0
60.5,71.0
5.5,6.0
18.5,20.5
1.0,4.0
5.0,5.0
-3.0,0.5
9.5,9.5
10.0,10.0
2.0,3.5
-3.5,4.0
0.5,6.0
11.5,14.0
50.0,49.0
0.5,5.5
-0.5,0.0
1.5,12.0
5.0,5.5
1.5,2.0
18.0,18.0
12.5,11.5
12.0,13.0
3.0,6.5
-1.5,-0.5
4.5,9.5
16.5,21.0
12.0,12.0
19.0,20.5
48.5,50.5
12.5,13.0
1.0,7.0
-3.5,1.0
-1.5,3.5
8.0,10.0
20.0,20.5
10.0,10.0
-2.0,1.0
12.0,13.0
1.5,3.5
4.5,4.5
7.0,6.0
-1.5,1.0
-1.5,2.0
7.0,7.0
11.5,20.0
9.5,10.0
4.5,6.0
8.0,8.5
64.5,67.5
1.0,1.5
6.5,8.0
24.0,33.0
-2.0,2.5
5.0,5.5
1.0,11.0
18.0,20.0
85.0,85.5
1.0,2.0
4.0,5.0
1.5,4.5
11.0,15.5
5.0,4.5
6.0,15.0
3.5,3.0
33.0,40.0
29.5,29.5
6.5,7.0
10.0,11.5
-0.5,1.5
6.0,6.5
35.5,37.0
11.5,23.5
1.5,2.5
2.5,2.0
3.0,5.5
5.5,8.0
3.5,4.0
-2.0,-1.0
18.5,22.0
18.0,21.0
12.5,14.0
4.0,3.5
-3.5,-1.0
7.0,8.5
1.5,11.0
2.0,3.5
10.5,15.5
21.5,26.5
1.0,5.0
10.0,12.0
33.5,33.0
0.5,0.5
11.0,11.5
10.5,11.0
13.0,13.5
2.0,2.5
2.5,4.5
97.5,101.0
4.0,4.5
18.0,17.0
42.0,47.5
25.0,26.5
3.0,3.5
19.0,18.0
1.5,1.5
8.0,11.5
19.5,20.0
2.0,2.0
1.5,2.0
5.5,5.5
-1.0,15.0
24.0,26.5
12.0,14.0
27.0,29.0
2.5,3.0
9.5,14.5
60.5,63.0
13.5,19.5
13.0,15.0
-2.0,0.0
0.5,0.5
0.5,0.0
-2.5,0.5
31.5,34.0
73.5,73.5
7.0,10.0
0.5,3.0
-3.5,1.5
8.0,8.0
10.0,14.5
5.5,10.0
35.0,35.5
133.0,135.5
14.5,15.0
23.0,23.0
4.5,4.5
21.0,20.5
3.5,2.5
-0.5,2.5
0.0,4.0
2.5,4.0
5.0,6.5
6.0,10.0
10.0,10.5
22.0,24.5
32.0,35.0
21.0,22.0
-1.0,1.5
28.0,30.0
1.5,1.5
27.5,31.0
58.5,62.5
-1.5,5.5
27.0,25.5
10.5,11.0
4.5,5.0
7.5,8.0
-0.5,0.5
18.0,20.5
47.0,48.5
88.5,94.0
3.5,3.5
-1.0,2.0
4.0,10.0
10.5,10.5
21.0,22.5
3.0,3.5
12.0,13.0
-2.5,0.5
1.5,2.0
2.5,3.5
1.0,3.0
2.5,2.5
9.5,58.5
23.0,24.0
18.0,19.5
1.5,1.5
9.0,12.0
13.0,13.0
3.0,2.0
