REGGIO EMILIA AV,MILANO ROGOREDO
6.0,3.0
5.0,6.0
1.0,1.5
0.5,2.0
1.0,-0.5
4.5,1.5
9.0,6.5
2.5,2.0
1.0,-1.0
11.5,29.0
9.5,11.0
4.0,1.0
5.0,2.5
2.0,-1.0
3.0,0.5
14.5,17.5
4.5,6.0
4.5,3.0
9.5,9.0
2.0,7.0
5.5,8.5
8.5,10.5
6.0,4.0
13.0,11.0
433.5,429.0
1.5,-1.0
1.5,4.0
17.0,13.5
34.5,32.5
11.0,7.5
6.0,3.0
1.5,-1.0
0.5,-0.5
1.5,2.0
11.0,10.5
2.0,2.0
1.5,-1.0
1.0,-2.0
1.0,-2.0
21.5,18.5
20.5,23.0
6.0,7.0
0.5,-2.0
4.5,1.5
4.5,1.5
1.5,-2.0
15.5,12.0
20.5,17.0
6.0,6.0
9.0,10.0
5.5,5.0
3.5,1.0
65.5,63.0
1.5,-2.0
28.5,27.5
28.0,26.0
3.5,3.5
2.0,0.0
1.5,-0.5
6.0,4.5
30.0,28.0
8.0,8.5
2.5,3.5
15.0,12.0
5.5,4.0
12.0,11.5
2.0,2.0
4.5,8.5
38.0,44.0
1.5,1.0
12.0,10.5
17.5,14.5
3.0,1.0
9.0,6.0
14.5,12.0
10.0,15.0
0.0,5.5
29.0,40.0
10.0,8.5
1.0,5.0
9.0,6.5
11.0,9.0
2.5,4.5
24.0,21.5
4.5,1.5
2.0,2.0
6.5,5.5
22.5,20.0
5.0,2.0
6.0,4.0
80.5,81.0
6.5,13.0
5.5,15.5
1.0,0.5
3.0,-2.5
33.5,30.0
3.0,-0.5
8.5,6.0
15.5,18.0
9.0,6.0
4.0,2.0
1.0,-1.5
15.0,13.0
8.0,6.5
6.0,10.5
3.0,10.5
2.5,-0.5
1.5,-2.0
22.5,20.5
25.5,23.5
30.5,27.0
2.5,4.0
1.0,-1.5
3.0,0.0
14.0,13.5
6.0,6.0
11.0,8.0
14.0,10.5
4.5,3.0
9.5,5.5
42.5,42.5
4.5,2.0
8.5,9.0
0.5,-2.5
6.5,12.0
3.5,5.0
3.5,-0.5
7.0,7.5
7.0,3.5
30.0,32.0
0.5,-0.5
4.5,8.0
1.0,-0.5
2.0,0.5
92.0,89.0
9.5,12.0
24.5,23.0
2.0,0.0
76.0,86.0
1.5,-1.0
3.5,1.5
3.0,4.5
6.5,5.5
-0.5,-3.0
5.0,1.0
14.0,15.5
