FERRARA,CORONELLA
8.0,9.0
3.5,5.0
6.5,7.5
6.0,7.0
27.0,33.0
11.0,11.5
7.0,8.0
6.0,8.0
11.0,11.5
0.5,1.5
8.0,11.0
5.5,11.5
7.0,8.0
7.5,8.5
1.5,3.0
3.0,4.5
3.5,4.0
1.0,2.0
10.0,10.5
3.0,3.5
8.0,9.0
11.5,12.0
12.5,14.5
13.0,14.0
7.0,8.0
0.5,2.0
4.0,5.0
7.5,8.5
4.5,5.5
10.0,11.0
8.0,9.0
5.5,7.0
2.5,3.0
6.5,7.0
11.5,12.5
5.0,6.0
11.0,12.0
0.5,1.0
4.0,4.5
3.5,4.0
2.0,3.0
3.5,8.5
7.5,8.0
3.5,5.0
4.5,9.0
8.0,9.5
7.5,8.0
3.5,5.0
10.5,11.5
9.0,9.5
4.0,4.5
7.0,7.5
7.0,8.0
1.0,2.0
1.5,2.0
8.5,9.0
-0.5,1.0
4.5,5.5
1.0,1.5
1.5,2.5
1.0,2.0
5.0,5.5
-0.5,0.0
9.0,9.5
11.0,11.5
2.0,3.0
3.0,3.5
4.0,5.5
10.5,11.5
21.0,22.0
2.0,2.5
9.0,9.5
8.0,8.5
11.5,14.0
4.0,4.5
4.0,4.5
6.5,6.5
3.0,4.0
11.5,12.0
10.0,11.5
1.5,2.0
5.0,5.5
-1.0,1.0
2.5,3.5
3.0,4.5
6.5,7.5
5.0,5.5
4.5,5.0
0.5,1.5
0.5,2.5
6.0,7.5
3.5,4.5
3.0,3.5
1.5,2.0
6.5,6.5
4.5,6.0
2.5,3.5
6.0,6.5
5.5,6.0
4.0,5.0
4.0,4.5
7.0,7.5
10.0,10.5
3.0,4.0
2.0,3.0
6.5,7.5
1.5,2.0
0.0,1.0
-0.5,1.0
5.0,5.5
7.5,8.0
6.5,7.5
12.0,13.0
0.0,0.5
6.0,7.0
4.0,5.0
5.0,6.0
1.5,2.0
4.5,5.5
7.0,7.5
5.5,6.5
5.0,6.0
0.5,2.5
5.5,6.0
8.0,9.0
11.0,11.5
6.0,8.0
8.5,9.0
2.0,3.0
5.5,6.0
4.5,5.0
11.5,12.5
2.5,3.0
6.0,7.0
20.0,21.5
5.5,6.5
13.0,14.0
2.0,2.5
7.5,8.5
7.5,9.0
1.0,1.5
3.0,5.0
7.0,8.0
6.0,6.5
3.0,3.5
2.0,3.0
1.0,2.0
11.0,11.5
9.0,10.0
7.5,8.5
6.0,6.5
2.5,2.5
