FIRENZE S.M.N.,BOLOGNA C.LEAV
1.0,-4.5
6.0,-1.5
0.0,-6.0
1.5,-4.0
2.5,6.0
1.5,-3.0
1.0,-5.0
0.5,-3.5
13.5,9.0
1.0,-3.5
-3.0,-4.5
-0.5,-4.0
-2.5,-6.5
0.5,-4.5
15.0,10.0
5.0,-1.0
-2.5,-4.0
0.5,-5.5
411.5,409.0
-1.0,2.0
4.0,8.5
0.0,-5.0
40.5,42.0
-2.5,-6.5
-0.5,-7.0
-1.0,-7.0
-0.5,-4.5
-0.5,2.5
-3.5,-4.5
-1.5,-2.5
2.5,-2.5
5.0,13.0
-3.0,-6.5
-4.5,-5.5
2.0,-2.5
25.5,23.5
-3.0,-4.0
7.0,17.0
10.5,3.5
-4.0,-6.5
-1.0,-5.0
5.5,3.0
32.0,30.0
3.5,0.5
-1.5,-6.5
-1.0,-3.5
-1.0,-4.0
15.5,11.5
-2.5,-4.5
18.5,13.0
3.0,-4.5
0.5,-2.5
21.5,15.5
-0.5,-4.5
-1.0,-2.5
-3.0,-5.0
-1.0,1.0
5.0,2.5
3.0,-3.5
0.5,-3.5
10.0,6.0
-3.0,-5.0
-0.5,-6.0
10.0,5.0
3.0,-2.5
2.0,7.5
-3.0,-4.0
9.5,3.0
3.5,-0.5
2.0,2.0
11.5,5.0
-3.0,-6.0
2.5,-2.5
5.5,1.5
0.0,-4.5
7.0,0.5
79.5,80.5
-6.0,-6.0
7.0,1.0
5.0,0.0
3.0,-5.5
-1.0,-5.0
1.5,5.0
8.5,2.0
0.0,-4.5
19.0,13.5
-4.0,-7.0
0.5,-2.0
0.0,-4.5
0.0,-4.5
27.0,22.5
-1.0,-6.0
54.5,47.5
9.0,16.0
-1.5,-6.0
11.0,2.0
-3.0,-5.5
0.5,-4.0
-1.5,-7.0
-4.5,-5.5
4.5,-2.5
2.0,-5.0
11.5,5.5
0.5,-3.5
0.0,-1.0
47.0,39.5
