MEZZANI RONDANI,CASALMAGGIORE
21.5,20.0
3.0,1.0
10.5,10.0
8.0,6.5
12.0,12.5
8.5,7.5
9.0,8.5
7.0,7.5
2.5,1.5
10.0,10.5
3.0,2.5
17.5,17.5
14.0,15.0
1.5,0.5
3.5,3.0
6.0,6.0
4.0,3.5
7.5,8.5
3.0,2.0
3.0,3.0
11.0,10.0
7.0,6.5
8.0,7.5
10.0,10.5
3.5,2.5
5.5,6.0
7.0,7.0
9.5,8.5
7.5,8.0
4.5,3.5
4.5,3.5
6.0,5.5
5.5,6.0
5.0,6.0
10.0,10.5
9.0,9.0
6.5,7.5
6.0,6.5
8.5,7.5
10.5,11.5
4.5,3.0
7.5,8.0
2.5,1.0
2.5,1.5
9.0,7.5
1.5,0.5
4.0,3.5
0.5,-0.5
6.5,7.5
11.5,12.0
5.5,5.5
6.0,5.5
4.0,2.5
2.0,1.0
22.0,19.0
15.5,14.5
13.5,13.0
7.0,6.0
2.0,0.5
9.5,10.5
12.0,12.0
5.0,4.5
5.5,5.0
4.5,6.5
7.5,7.5
4.5,4.0
2.5,2.0
1.0,0.0
5.5,4.0
0.5,2.0
5.5,5.0
4.5,4.5
6.5,7.0
5.0,5.0
3.0,1.5
2.5,1.5
8.5,8.5
4.0,3.5
8.5,7.0
7.0,7.0
20.0,18.0
6.0,5.0
7.5,6.5
14.0,14.5
10.5,12.5
10.0,10.5
10.0,10.5
1.5,0.5
0.5,-0.5
6.0,4.5
6.0,4.5
18.5,16.5
10.5,11.5
2.0,0.5
3.0,1.5
12.5,12.5
6.5,5.5
9.5,9.0
1.0,0.5
6.5,5.0
5.0,5.0
8.5,9.0
8.5,8.5
8.0,7.0
5.5,5.0
8.5,10.0
16.5,14.5
11.0,10.5
7.5,6.0
3.5,1.5
5.0,4.0
14.5,19.5
25.0,24.5
8.5,8.5
11.0,11.0
2.5,1.5
5.5,4.0
2.0,0.5
8.0,7.5
9.5,10.0
8.0,8.0
6.5,6.0
6.0,7.0
4.0,4.5
25.5,26.0
3.0,1.5
16.5,18.5
1.0,0.0
4.0,5.0
1.5,0.5
12.0,11.5
13.0,11.5
8.0,8.5
3.5,2.0
6.5,7.0
8.5,8.0
7.0,5.0
2.5,1.0
8.0,9.0
35.5,35.0
5.0,4.5
3.0,1.5
8.0,9.0
7.5,8.0
10.0,11.0
6.0,5.5
7.5,7.0
5.0,4.5
3.0,3.0
