GHEDI,MONTIRONE
12.5,12.5
22.5,22.5
0.0,0.5
-0.5,-1.0
10.0,10.0
10.5,11.0
4.5,5.0
1.0,1.0
-2.0,0.0
7.0,10.0
2.0,3.0
14.5,14.0
13.5,14.0
-2.5,-2.5
0.0,0.0
2.5,4.0
2.5,3.0
5.5,6.5
-2.5,-2.0
2.5,4.0
4.5,4.0
6.0,6.5
5.5,5.5
3.0,3.5
-2.0,3.5
1.5,2.0
0.5,0.5
3.0,3.5
0.0,0.0
23.5,25.5
-0.5,0.5
13.0,13.5
4.0,4.5
8.5,9.0
5.5,6.0
5.0,6.0
6.5,7.0
1.5,1.5
4.0,4.0
8.5,9.5
0.0,0.0
3.5,4.0
-1.0,0.0
-1.5,0.0
0.0,0.0
0.0,1.0
0.5,0.5
1.5,2.0
6.0,7.0
4.0,4.0
4.0,1.5
1.0,1.5
-1.5,-0.5
-1.0,0.5
8.0,7.5
13.5,14.0
2.5,2.0
-0.5,0.5
4.5,5.0
25.0,25.5
6.0,6.0
8.5,8.0
3.0,3.5
13.5,26.5
7.5,8.0
1.5,1.0
0.0,0.5
7.0,7.0
10.0,10.0
-1.5,-1.0
-0.5,0.0
2.0,3.0
0.0,0.5
0.5,1.0
-1.5,-1.0
-1.0,-1.0
0.5,1.0
0.5,0.5
4.0,4.0
2.0,3.5
9.5,9.5
4.0,4.5
1.5,2.5
5.0,5.0
9.0,9.5
5.0,5.5
21.5,22.5
5.0,6.0
-2.0,-1.0
-1.0,-1.0
1.5,2.0
13.5,14.0
6.5,6.5
0.0,1.5
8.0,8.0
7.0,8.0
-1.0,-0.5
3.5,4.5
-1.0,0.0
0.0,0.0
1.5,1.5
2.5,2.5
0.5,1.5
1.0,1.5
7.5,8.0
3.0,4.5
8.5,8.0
4.5,5.5
2.0,2.5
-1.0,0.0
9.0,9.5
8.5,8.5
23.5,23.5
2.0,2.0
6.5,6.5
-0.5,0.0
1.5,2.0
-1.5,-0.5
1.0,1.5
5.5,5.5
3.0,3.5
3.0,3.5
6.5,7.5
3.0,3.5
24.5,25.0
0.5,1.0
19.0,20.0
-0.5,0.5
0.5,1.0
3.0,9.0
14.0,14.5
2.5,4.0
3.5,3.5
-1.0,0.0
5.0,6.0
20.5,20.5
-1.5,1.0
-2.0,-0.5
6.5,16.5
23.0,22.0
2.0,4.5
-0.5,-0.5
0.5,2.0
5.0,5.5
6.0,7.5
2.0,1.5
1.0,1.5
0.5,1.0
2.5,3.0
