CLASSE,LIDO DI CLASSE-LIDO DI SAVIO
0.5,-3.0
1.5,-2.0
5.0,2.0
2.0,-2.0
8.5,4.5
0.5,-3.0
4.0,1.5
1.5,-1.5
4.0,1.0
2.0,-1.0
1.5,-1.5
2.0,-1.0
2.0,-2.0
1.0,-1.0
6.5,23.5
28.0,26.0
4.5,2.0
1.0,-1.5
2.5,1.0
14.5,11.0
3.5,0.5
7.5,4.5
0.5,0.0
4.5,1.5
2.0,-1.5
4.5,1.0
8.5,4.5
1.5,-2.0
4.0,0.5
1.5,-2.0
1.5,-2.0
1.0,-3.0
2.0,-1.5
61.5,58.5
0.5,-2.0
1.5,-1.5
2.5,1.0
2.0,-1.5
14.0,10.0
1.5,-2.5
0.0,-4.0
6.5,4.0
1.5,-2.5
13.5,10.0
4.0,1.5
0.5,-3.5
0.5,-2.0
2.5,-0.5
2.0,-1.5
7.0,3.5
4.0,0.5
51.0,47.5
2.0,-1.5
0.5,-2.5
1.0,-2.0
7.5,3.5
0.5,-2.5
1.5,-1.0
1.5,-1.0
2.0,1.0
0.5,-2.0
2.5,-0.5
2.5,-0.5
6.0,3.0
1.0,-2.5
2.0,-1.0
1.0,-2.5
1.5,-1.5
1.5,-2.0
1.0,-2.0
1.5,-2.0
1.5,-2.5
6.5,2.0
2.5,0.5
2.0,-1.5
1.5,-2.0
2.0,-1.5
1.0,-1.5
28.5,25.0
1.5,-2.0
2.0,1.0
2.0,-1.5
3.5,1.0
1.5,-2.0
2.5,1.5
7.0,4.5
2.0,1.0
1.5,-1.0
1.0,-2.0
2.5,0.0
3.5,0.5
1.0,-2.0
1.5,-1.5
0.5,-2.5
1.5,-1.5
2.0,-1.0
16.5,13.5
1.5,-2.0
2.0,0.0
1.5,-1.5
1.5,1.0
1.0,-2.5
1.0,-2.0
1.0,-1.5
0.5,10.0
1.0,-2.0
1.0,-3.0
3.0,0.0
1.0,-2.5
0.5,-2.5
0.5,-3.0
1.0,-2.5
2.5,-0.5
0.5,-2.0
3.0,0.0
5.0,1.0
1.5,-0.5
3.0,-0.5
1.0,-2.5
3.5,0.0
3.0,0.5
2.5,-1.0
2.0,0.5
2.0,-1.0
2.0,0.0
4.5,1.5
1.0,-2.0
1.5,-1.5
1.5,-2.5
11.0,8.5
1.5,-1.0
17.0,13.5
0.5,-3.0
6.5,3.0
3.5,0.5
-1.0,-5.5
1.5,-1.0
10.0,6.5
4.5,1.0
1.0,-2.5
2.5,-1.5
1.0,-2.0
