FIRENZE RIFREDI,FIRENZE S.M.N.
-0.5,0.0
1.0,1.5
-1.0,-1.0
-1.5,1.0
5.5,5.5
9.0,8.0
-0.5,-1.5
-1.0,0.0
2.0,2.0
-2.0,-0.5
2.5,5.0
1.5,0.5
0.0,2.0
-1.0,-2.0
-1.0,0.0
-1.5,-2.0
4.0,5.0
2.0,1.5
-1.5,-0.5
-1.0,0.5
1.0,1.5
0.5,-1.0
-1.5,-2.5
-1.0,-2.0
7.5,6.0
-1.0,0.0
0.5,0.5
6.0,5.5
-0.5,3.5
10.0,10.5
26.5,34.0
-1.5,-2.5
-1.5,-0.5
0.0,2.5
2.5,2.0
9.0,8.0
2.5,3.0
-0.5,-0.5
7.5,6.5
4.0,3.0
3.0,2.0
2.5,1.5
-1.5,-2.5
-1.0,2.5
-1.5,0.0
-1.5,1.0
-1.0,0.0
-0.5,2.0
-0.5,0.5
-0.5,5.0
10.5,10.0
-1.0,-1.5
-1.5,-1.0
1.0,0.5
1.5,3.5
0.0,1.0
2.5,3.0
0.5,0.5
0.0,0.0
5.0,4.0
1.5,2.0
6.5,6.0
2.0,1.0
5.5,4.5
2.0,3.5
-0.5,1.5
3.5,2.5
2.0,1.0
-1.5,1.5
-0.5,1.5
0.0,-1.5
-1.0,-1.0
-1.5,-1.0
0.0,-1.0
-1.5,-2.0
10.0,9.5
1.5,2.5
-0.5,1.0
4.0,2.5
-1.5,0.0
1.5,0.0
-0.5,-1.0
0.0,6.5
1.5,0.5
0.5,-0.5
13.0,12.0
-1.5,0.0
4.0,4.5
1.0,-0.5
-1.0,1.0
6.0,4.0
-0.5,0.5
-2.0,-2.5
27.5,32.5
2.5,2.0
5.0,5.0
2.5,2.0
-2.0,1.5
-0.5,1.5
0.0,2.0
-1.5,-0.5
-1.0,1.0
-1.5,0.0
4.0,3.0
1.0,0.0
-0.5,-2.5
-1.5,0.0
-1.0,-1.5
-1.5,2.5
-2.0,-0.5
0.0,3.0
-0.5,0.0
6.5,5.0
-1.5,-1.5
1.5,1.0
-1.0,24.5
1.5,2.0
-1.5,-0.5
-0.5,-0.5
4.5,2.5
-2.0,0.0
-2.0,-1.0
-1.0,-2.0
3.5,3.5
0.0,3.0
1.0,2.0
-1.0,-2.0
16.5,15.5
-1.5,-1.5
1.0,0.5
10.0,10.0
-1.5,2.0
-1.5,-1.5
-0.5,0.5
-1.0,1.0
-1.5,1.0
0.0,0.0
2.0,1.5
-1.0,-1.5
