S.ANTONIO MANTOVANO,MANTOVA
0.5,0.5
3.0,3.0
1.5,1.0
7.5,7.5
2.0,1.0
2.5,3.0
-1.0,-1.5
-1.5,-1.0
1.5,0.5
3.0,3.0
0.0,0.0
1.0,0.5
2.0,2.0
0.0,0.0
2.5,1.5
9.5,13.5
7.5,5.5
1.0,0.5
17.5,16.0
0.0,-0.5
6.5,7.0
0.5,0.5
0.0,0.0
1.5,1.0
-1.5,-0.5
-0.5,0.0
0.0,-0.5
0.0,3.0
0.5,0.0
1.5,0.5
6.0,6.5
6.0,6.5
-1.0,-0.5
4.0,3.0
4.0,3.5
0.5,1.0
5.0,4.5
8.5,8.5
6.5,5.0
3.5,3.0
7.5,4.5
19.5,19.0
0.5,0.0
6.0,4.5
4.0,3.5
1.5,1.0
4.5,4.0
1.5,2.0
2.5,2.5
4.0,4.5
1.0,0.5
4.0,5.0
-0.5,-0.5
2.5,2.5
5.0,5.5
5.5,5.0
-0.5,-1.0
6.5,6.5
-1.0,0.0
5.0,3.5
3.0,2.5
5.5,5.5
-0.5,-0.5
0.0,2.0
2.0,3.0
8.5,8.0
14.0,13.5
7.0,7.0
3.0,2.5
1.0,1.0
0.5,0.0
1.0,0.0
-1.0,-0.5
0.5,1.0
-1.0,-1.5
-1.0,-1.0
4.0,3.5
4.0,3.5
0.0,-1.0
0.0,-1.0
2.0,2.0
1.0,1.0
2.5,2.5
2.0,2.0
0.5,-0.5
2.0,1.0
5.5,5.5
3.0,3.0
-1.0,-0.5
34.0,33.5
7.5,4.5
1.0,0.5
-0.5,-0.5
-1.0,-0.5
5.0,5.0
1.5,1.5
2.5,2.5
2.0,2.0
1.0,0.5
0.5,0.5
-0.5,-0.5
4.0,3.5
4.5,4.5
1.5,2.0
-1.0,-1.0
1.5,1.5
0.0,-0.5
1.5,1.5
-1.5,-1.5
-1.5,-1.0
3.0,3.0
5.5,5.0
0.0,0.0
4.0,3.5
0.0,-0.5
0.5,0.0
1.0,1.0
1.0,0.5
3.5,5.0
2.5,2.5
0.5,1.0
0.0,0.0
22.5,21.5
6.0,5.0
0.5,0.5
5.0,5.0
-1.0,-0.5
-1.5,0.0
3.5,3.0
2.5,2.0
2.5,2.5
2.0,2.5
4.5,4.0
1.5,1.5
1.0,1.0
-0.5,-1.0
-0.5,5.0
-0.5,0.0
24.5,24.5
3.5,3.0
13.0,14.0
0.5,1.0
0.0,-0.5
2.5,1.5
1.0,0.0
0.0,-0.5
2.5,2.5
-1.5,-1.0
-1.0,-1.5
22.5,21.0
10.5,8.0
5.5,5.0
4.0,4.0
4.0,3.5
-1.5,-0.5
2.0,2.0
0.0,0.0
7.5,9.0
0.5,-1.0
1.0,-0.5
0.5,0.0
-0.5,-1.0
0.0,-1.5
3.0,2.0
6.0,5.5
0.0,0.0
6.0,5.5
0.5,0.5
8.0,8.5
-1.5,-1.5
3.5,4.0
0.0,0.0
5.5,6.0
-1.5,-1.0
-1.5,-1.0
-0.5,-1.5
3.0,2.0
2.5,2.0
2.5,1.5
9.0,8.5
3.5,3.0
1.0,0.5
3.5,3.0
2.0,1.5
5.0,4.5
8.0,9.0
1.0,0.5
4.5,4.5
2.0,2.0
0.0,0.0
0.0,-1.0
3.5,3.0
0.0,-0.5
1.0,0.5
0.5,0.5
0.0,0.0
-1.0,-1.0
0.0,0.0
3.5,4.5
-1.0,-1.0
0.5,2.0
4.0,3.0
2.5,2.5
2.5,2.5
10.5,9.5
5.0,4.5
1.0,1.0
3.0,2.5
2.0,2.0
1.5,0.5
-1.0,-0.5
3.5,3.0
4.0,3.0
5.0,4.0
8.5,8.5
0.0,-0.5
1.0,1.0
0.0,-0.5
4.0,3.5
2.5,3.0
0.0,0.5
3.5,3.5
1.0,-0.5
3.0,1.5
0.0,-1.5
-2.0,-1.0
0.0,0.0
7.0,9.0
5.0,5.5
1.5,0.5
2.5,2.0
4.0,3.5
-0.5,0.0
0.5,2.0
0.5,0.0
2.0,5.5
1.0,1.0
3.0,2.5
-0.5,-0.5
23.0,22.5
5.5,5.0
4.0,3.5
0.5,0.5
2.0,2.0
1.5,1.5
-1.5,-1.0
1.0,0.5
10.0,10.0
0.0,0.5
-2.5,-1.0
-0.5,-1.5
-0.5,-1.0
0.0,-0.5
6.0,6.0
4.5,4.5
6.5,7.0
2.5,2.5
5.0,4.5
0.5,0.5
1.0,0.5
5.0,5.0
6.5,6.5
1.5,0.5
3.5,3.0
31.0,37.5
3.0,2.0
0.0,-1.5
0.0,-1.0
0.5,0.0
0.5,0.0
2.0,1.5
2.0,1.0
-1.5,-1.5
-1.5,0.0
-0.5,0.0
23.0,21.5
26.0,26.0
2.0,1.5
1.0,1.0
-0.5,-0.5
2.5,2.5
8.0,5.5
3.0,3.0
-0.5,0.0
2.5,2.0
2.0,1.5
-1.0,-0.5
7.5,5.0
