S.STEFANO LODIGIANO,CODOGNO
0.5,-1.5
1.0,-1.5
2.5,0.0
4.0,0.5
1.5,-1.5
3.0,0.5
1.0,0.0
11.0,8.0
2.5,0.0
2.0,-0.5
1.0,0.0
1.0,-2.0
2.0,0.5
2.0,-0.5
2.5,-1.0
2.0,-1.0
1.0,-2.0
2.0,0.0
2.0,0.0
2.0,0.0
2.0,0.5
1.5,-1.0
1.5,-1.0
3.0,0.0
0.5,1.5
4.0,1.5
1.5,-2.0
11.5,10.0
2.5,0.0
1.5,-1.0
1.0,-1.0
1.5,-1.0
13.5,11.0
3.0,0.5
2.0,-0.5
2.5,-0.5
1.5,-1.0
1.0,-2.5
2.0,-1.0
1.5,-1.0
2.0,-1.0
5.0,1.5
1.0,-2.0
11.5,8.5
19.0,17.0
3.5,1.5
2.5,0.5
16.0,13.0
1.5,-1.0
1.5,-1.5
1.5,-1.5
1.5,-1.5
10.5,9.5
2.0,-1.0
2.0,3.5
2.5,0.0
3.5,0.5
1.0,-1.5
1.5,-1.0
4.0,1.0
0.5,-2.0
2.0,-0.5
2.5,-1.0
1.5,-1.5
3.0,1.0
2.0,-0.5
1.5,-0.5
3.5,0.5
1.5,-1.5
1.5,-1.0
2.0,-0.5
16.0,13.0
1.5,-0.5
2.5,0.0
1.0,3.5
3.5,1.5
1.0,-1.5
1.5,-1.0
15.5,12.0
2.0,0.0
2.0,-1.0
1.0,-1.5
0.5,-2.5
1.0,-1.0
4.0,2.0
2.5,0.0
3.0,0.0
1.5,-1.5
3.0,0.0
0.5,-0.5
3.0,-0.5
1.0,-1.5
2.5,-0.5
2.0,-1.0
3.0,-0.5
30.0,29.5
1.5,-2.0
2.0,0.0
5.5,2.5
3.0,0.5
2.5,3.0
0.0,0.5
1.5,-1.0
2.5,-1.0
4.0,1.0
1.5,-1.0
12.0,9.0
2.5,3.5
1.0,-1.5
3.0,-0.5
7.5,5.0
4.0,2.5
2.0,0.0
0.5,0.5
2.0,2.0
3.5,2.0
2.0,0.0
1.5,-1.5
1.5,-1.0
2.5,-0.5
6.0,3.0
1.5,-1.0
1.0,0.0
0.5,-0.5
1.0,-1.5
4.0,1.5
2.0,0.0
0.5,-3.0
0.5,-0.5
6.0,3.0
5.0,5.0
1.5,-1.0
2.5,0.0
1.5,-1.0
2.5,1.5
29.0,26.0
2.5,0.0
2.0,-1.0
1.0,-2.0
1.5,-1.0
