LODI,PIACENZA
2.5,-8.0
3.5,-6.5
7.5,-3.0
2.5,-8.0
3.0,-3.5
2.5,-7.0
4.0,-5.5
1.0,-9.5
2.5,-7.0
2.5,-8.0
3.0,-6.0
1.0,-9.5
2.5,-5.0
7.0,-4.0
2.5,-1.0
9.5,3.0
3.0,-7.5
2.0,-8.0
5.0,-3.5
2.5,-0.5
0.5,-9.0
17.5,8.5
1.5,-8.5
4.5,0.5
3.0,-7.5
2.5,-6.0
7.5,2.5
0.5,-5.5
33.0,27.0
5.0,-3.5
5.5,-5.5
1.0,-9.5
2.0,-7.5
5.5,-2.5
11.0,1.5
1.5,-7.5
21.5,16.5
1.0,-10.0
3.0,-7.0
2.0,-6.5
0.5,-2.0
1.5,-8.5
2.0,-7.0
1.5,-8.5
0.0,-7.5
20.5,0.0
2.0,-6.5
3.0,-1.0
7.0,-2.0
8.0,3.0
2.0,-7.5
4.0,-5.5
1.0,-9.5
8.0,-1.5
5.0,-4.5
29.0,28.0
5.0,-4.0
2.5,-6.0
5.0,-1.5
1.5,-7.0
4.0,0.0
2.5,-6.5
5.0,-5.0
2.0,-9.0
2.5,-6.0
57.5,54.0
2.0,-2.5
16.5,15.0
5.0,-4.0
1.0,-9.0
3.5,-13.0
2.0,-8.5
4.5,-3.5
3.5,-5.0
0.5,-6.5
5.5,-1.5
11.0,3.0
2.0,-6.5
30.5,27.0
1.5,-8.0
3.0,-1.5
30.5,18.5
5.5,-5.0
7.0,-4.0
5.0,2.5
9.0,2.0
5.0,-1.5
1.5,-8.0
4.5,-6.5
1.0,-7.0
2.0,-7.5
1.5,-2.0
3.0,-6.0
2.0,-5.0
1.5,-9.0
3.5,-7.0
7.0,-3.5
5.0,-1.5
3.0,-6.5
21.5,37.0
3.0,-7.5
0.0,-6.0
8.0,-1.0
2.0,-5.5
0.5,-9.0
5.5,0.0
7.0,7.5
3.0,-5.5
2.5,-1.5
2.0,-7.0
3.5,-2.0
8.5,-1.0
3.0,-5.0
0.0,-7.0
2.5,-3.5
4.5,0.0
0.0,-9.5
13.5,3.0
2.5,-8.0
54.5,52.5
12.0,5.0
3.5,-7.0
2.5,-7.0
2.0,-5.0
17.0,7.5
1.0,-10.5
2.5,-6.5
2.0,-5.5
77.0,68.5
5.5,-5.5
2.0,-7.0
15.0,4.5
3.0,-6.5
8.5,-2.0
5.5,-4.0
4.0,-7.0
49.0,42.0
7.5,-2.0
5.5,-4.5
7.5,-3.0
5.0,-3.0
4.5,-6.0
21.5,22.5
27.0,20.0
