CESENA,RIMINI
0.0,-4.5
3.0,0.0
3.5,-2.5
2.5,-2.0
13.0,10.5
9.0,2.5
0.5,-4.0
2.5,-1.5
4.5,-1.5
0.5,0.5
6.5,0.0
0.0,-5.5
5.5,-1.0
1.0,-4.0
10.5,5.0
8.0,3.5
7.0,2.0
0.0,-1.0
19.5,13.5
0.0,-4.5
8.5,5.5
45.5,41.5
3.0,-1.0
2.5,-3.0
20.5,23.0
2.5,2.0
12.0,5.5
2.5,-4.5
3.5,-2.5
9.0,2.5
5.5,0.0
2.0,-2.0
19.5,21.5
1.5,-3.5
0.0,-5.5
2.5,-3.0
8.5,3.5
43.5,37.5
-0.5,-5.5
0.0,-5.0
-0.5,-6.5
-0.5,-6.5
4.0,-2.5
2.0,0.5
3.0,-2.0
2.5,-4.0
1.5,-2.5
8.5,4.0
-0.5,-6.0
82.5,77.5
4.0,1.0
0.0,-3.5
26.0,28.5
-0.5,-6.0
-0.5,-6.5
-0.5,-6.0
4.5,0.0
4.5,-0.5
1.5,-4.0
3.5,-1.0
-0.5,-6.5
1.0,-5.5
0.0,-6.0
10.5,6.0
12.5,6.0
3.0,-3.0
9.0,2.0
2.0,-3.0
8.0,2.5
1.5,-4.0
2.5,-3.5
2.5,0.0
5.5,-0.5
1.0,-5.0
16.0,10.0
3.5,0.0
4.0,-2.5
2.0,-4.5
13.5,8.5
2.5,-2.5
0.0,-6.0
11.0,5.5
2.5,-3.5
5.0,1.0
1.0,-3.5
0.0,-4.5
-0.5,-6.0
44.0,39.0
