ROMA TIBURTINA,FIRENZE S.M.N.
1.5,1.0
-1.0,6.0
2.5,0.0
1.5,1.5
2.0,2.5
-1.5,-0.5
-1.0,1.5
2.5,1.0
0.0,0.5
6.0,13.5
1.5,1.0
-1.5,-3.0
2.0,-0.5
-1.5,-2.5
0.0,0.5
18.0,15.0
3.0,5.0
0.5,-2.5
-1.0,0.5
360.5,411.5
1.5,-1.0
6.5,4.0
3.0,0.0
34.5,40.5
3.0,-2.5
-1.0,-0.5
1.0,-1.0
0.0,-0.5
2.0,-0.5
1.5,-3.5
-1.0,-1.5
-1.0,2.5
2.0,5.0
0.0,-3.0
0.0,-4.5
-1.0,2.0
26.0,25.5
-1.0,-3.0
1.0,7.0
-1.5,-2.5
6.0,10.5
0.0,-4.0
1.5,-1.0
9.0,5.5
32.5,32.0
0.0,3.5
0.0,-1.5
1.5,-1.0
-1.5,-1.0
9.0,15.5
1.5,-2.5
-0.5,18.5
0.0,3.0
2.0,0.5
14.5,21.5
0.5,-0.5
3.0,-1.0
-2.5,-3.0
-0.5,-1.0
3.0,5.0
-1.0,3.0
0.5,0.5
1.5,10.0
-1.0,-3.0
-0.5,-0.5
6.5,10.0
4.0,3.0
5.0,2.0
2.0,-3.0
8.0,9.5
0.0,3.5
1.0,2.0
13.5,11.5
0.0,-3.0
1.0,2.5
4.0,5.5
5.5,0.0
5.5,7.0
8.0,79.5
-2.0,-6.0
2.0,7.0
-0.5,5.0
1.0,3.0
3.5,-1.0
2.5,1.5
8.5,8.5
3.5,0.0
10.5,19.0
-2.0,-4.0
-2.5,0.5
-0.5,0.0
0.0,0.0
25.5,27.0
-3.0,-1.0
47.0,54.5
-1.5,9.0
-2.0,-1.5
10.0,11.0
-1.5,-3.0
-0.5,0.5
-1.0,-1.5
0.5,-4.5
3.5,4.5
1.5,2.0
17.0,11.5
2.5,0.5
-1.0,0.0
8.5,47.0
