FOGGIA,TERMOLI
-3.5,-4.0
-4.5,-1.0
7.5,10.0
22.0,25.0
-3.0,12.5
-1.5,10.5
-2.5,-0.5
-2.5,1.0
1.0,4.0
-3.0,0.0
20.0,19.0
-3.0,5.0
18.5,17.5
-1.5,8.5
2.0,15.5
-3.5,11.5
-1.0,2.0
1.0,3.5
-1.5,21.0
-3.0,13.5
-3.0,-6.0
-3.5,3.0
-2.0,-1.0
-3.5,2.5
-1.5,-2.0
-3.0,3.5
-3.0,-3.5
-1.5,2.5
12.0,14.5
-0.5,12.0
6.0,7.0
-4.0,0.0
-4.0,5.5
-3.0,7.0
-4.0,-5.0
1.5,2.5
-3.0,8.0
-4.5,4.5
-5.0,-3.0
0.0,5.0
2.0,3.0
-1.0,2.5
-3.5,-4.5
-2.0,1.5
-3.0,6.5
1.0,16.0
-1.5,5.5
3.5,-0.5
11.5,25.0
49.0,45.5
-3.5,19.0
1.5,1.0
7.5,13.5
-1.0,8.5
-1.5,-1.5
-2.5,2.0
11.0,17.0
0.5,8.5
-2.5,-2.5
-4.5,14.0
-1.5,-1.0
-4.5,2.5
43.5,47.0
0.0,1.0
-2.0,4.5
-3.5,1.0
-2.5,11.0
-1.0,8.5
-3.5,2.0
0.5,29.0
42.5,52.5
5.5,15.5
-2.0,-3.5
13.0,10.5
-1.5,3.0
-2.5,-0.5
-3.0,13.5
-2.0,1.0
-1.5,3.0
-1.5,15.0
-1.0,-2.0
-3.0,0.0
-3.0,-5.0
-3.5,1.0
-4.5,3.0
-4.0,0.5
0.5,6.5
12.0,9.0
-2.0,-1.5
-3.5,1.5
-1.0,0.5
-1.0,5.0
-3.0,1.5
5.0,11.0
-1.5,-5.5
5.0,3.5
-4.0,-1.0
-4.5,2.5
-4.0,10.5
2.5,12.5
0.5,-1.5
2.5,6.0
-4.0,-2.5
8.0,8.5
4.5,3.0
-0.5,3.5
-0.5,8.5
-3.0,22.0
8.0,9.5
-1.0,5.0
-3.0,-2.5
1.0,2.0
-5.0,-2.5
-4.0,1.5
-2.5,0.0
-1.5,5.5
-3.0,7.0
1.5,8.0
-3.0,4.5
-3.5,1.0
4.0,9.5
-3.0,4.5
-5.0,-1.0
-1.5,4.0
-3.0,-1.5
-2.0,3.5
2.0,4.0
-3.0,2.0
-0.5,16.5
-2.0,2.0
-2.5,-2.5
-0.5,4.0
-2.0,-2.5
-3.5,3.5
4.5,2.5
1.5,3.0
-0.5,5.5
-3.5,0.0
16.0,17.0
-3.5,8.0
-3.0,9.0
-3.5,8.0
6.5,2.0
-0.5,6.5
-4.5,-4.0
-3.0,1.0
1.0,6.0
-2.0,7.5
-1.5,3.0
-2.0,3.0
-5.0,-3.0
-3.5,1.5
14.0,15.5
-5.0,1.5
-4.5,-2.5
-2.5,3.5
-3.0,4.0
0.0,9.5
11.5,7.0
2.5,7.5
11.0,7.0
0.0,15.5
-2.0,-4.5
-3.0,2.0
-2.5,-5.5
-4.0,-0.5
-3.5,1.5
7.5,12.5
0.5,10.0
-2.0,0.5
15.5,13.0
-2.5,4.5
-1.5,9.5
4.0,11.0
-3.0,-1.5
-1.0,0.0
-1.5,5.0
-2.0,2.5
4.5,1.0
4.0,3.5
-3.0,-0.5
15.5,13.0
-3.0,3.5
1.0,4.5
-4.0,-2.5
-3.0,6.0
-1.0,48.5
-1.5,0.5
-2.0,-3.0
-4.0,4.0
-1.5,-1.5
-2.0,6.5
-2.0,11.5
-1.5,14.5
-2.5,5.0
2.0,10.0
0.0,-3.5
12.0,15.0
-0.5,1.5
9.5,13.5
5.5,5.0
-3.0,1.0
-3.5,5.0
-2.0,-0.5
2.5,3.5
4.0,5.5
10.0,27.0
-4.0,13.0
-2.0,-3.0
-3.5,-1.0
-4.0,1.0
3.0,2.5
-2.0,2.0
-3.5,1.5
14.0,12.0
15.5,11.5
1.0,11.5
1.5,12.0
114.5,115.0
-4.5,6.0
-3.5,-1.0
1.0,2.5
0.5,4.0
-3.5,3.5
-3.5,21.0
-2.5,6.0
21.0,26.5
6.5,9.0
1.0,-1.5
-2.5,13.0
-4.0,11.0
-2.0,0.5
10.0,15.0
-1.5,6.5
-4.5,2.5
-3.5,2.0
-4.5,-1.5
-4.0,6.0
-3.0,0.5
-4.5,23.0
-3.5,-2.0
1.5,10.5
15.5,14.0
-4.0,2.5
1.0,2.5
0.5,2.0
-4.0,8.5
1.0,-0.5
-3.0,4.0
-2.5,0.5
-3.0,28.0
-2.5,0.0
-3.5,20.0
-4.0,1.0
-3.5,-4.0
-1.0,1.5
-4.5,0.0
-2.0,10.5
32.5,39.5
44.0,48.0
-2.5,3.0
-1.5,0.5
-2.5,-3.0
0.0,6.5
-4.0,1.0
-3.0,4.5
-3.5,5.0
20.0,34.0
0.0,-1.0
6.5,11.5
-2.5,1.5
1.0,-0.5
-3.5,-3.0
-4.0,3.0
-3.0,19.5
-4.0,2.5
25.5,24.0
-2.5,1.0
3.0,13.0
-3.0,11.0
-3.5,-0.5
-2.0,5.5
-4.0,0.5
-3.0,3.5
