FERRARA,S.PIETRO IN CASALE
3.5,4.5
10.0,11.0
0.0,1.5
8.5,10.0
7.0,7.0
15.0,15.0
-1.5,0.5
-0.5,2.0
-0.5,1.5
-4.0,0.0
-2.0,1.5
1.0,2.5
-3.0,1.0
-0.5,5.0
-4.0,0.5
-2.0,1.0
-2.0,3.0
0.0,3.5
-1.5,3.0
-4.0,6.0
1.0,4.5
-2.5,3.0
-3.0,2.0
1.0,6.5
-4.0,1.5
-1.0,2.0
3.0,4.0
-1.5,3.0
2.0,8.5
1.5,2.0
1.0,35.5
-3.5,1.0
-4.0,2.0
-3.0,3.0
-3.0,26.0
-1.0,3.0
4.0,32.0
5.0,8.0
-3.0,3.5
-2.0,2.5
-4.0,3.5
2.0,5.0
-2.5,1.5
3.0,5.0
-3.5,3.0
6.5,9.5
0.0,3.5
-4.0,1.5
-3.5,1.5
7.0,8.5
-2.5,1.0
5.5,7.5
-3.0,1.5
-1.5,2.5
-2.0,1.0
-4.0,1.0
-3.0,2.0
4.0,11.0
117.5,120.0
4.0,6.5
-1.5,2.0
-3.5,2.0
-0.5,1.5
0.0,2.0
2.5,4.5
-0.5,5.5
7.0,9.0
2.0,5.5
4.0,6.5
-1.5,0.5
-1.0,2.5
4.5,7.0
-4.0,1.5
2.0,4.0
-2.0,3.0
0.0,2.5
2.5,4.0
-3.0,0.5
5.0,6.5
-4.0,2.0
-1.0,0.5
3.5,6.0
-2.5,1.5
0.5,2.0
-0.5,2.5
-4.0,1.0
-4.0,0.5
2.0,4.5
-1.5,0.0
2.0,2.5
0.5,2.0
-2.0,3.0
3.5,3.0
-3.0,0.5
-3.0,1.0
0.5,3.0
0.0,2.5
4.0,6.0
0.5,2.5
1.5,3.0
2.0,5.0
3.0,4.0
0.0,2.0
-1.5,1.5
-1.0,0.0
4.5,4.0
-2.5,0.5
-3.5,1.0
-2.0,0.0
-2.0,1.0
0.0,0.5
-2.5,0.0
4.0,3.0
-2.5,1.0
1.0,2.0
-1.0,0.0
