STRADELLA,VOGHERA
6.0,7.0
0.5,0.0
1.0,-2.0
4.5,1.5
1.5,-2.0
3.0,-1.0
9.0,5.5
0.5,-3.0
1.0,-2.5
-0.5,-2.0
4.0,2.0
0.0,0.0
3.0,-1.0
4.0,5.0
2.0,0.0
-0.5,-2.0
-1.0,-1.5
0.0,-2.0
3.0,-1.5
17.5,24.5
7.0,7.0
1.0,3.0
1.5,-3.0
8.5,5.0
1.0,2.0
-0.5,-2.0
1.5,-1.0
2.0,-1.5
3.0,2.5
0.5,-3.5
5.0,1.5
0.0,-2.5
1.0,-0.5
-0.5,-2.0
14.0,10.0
1.0,0.0
0.5,-2.5
3.5,3.0
0.0,-2.5
0.5,-2.5
2.5,-1.0
0.0,-3.0
0.5,-3.0
4.5,1.5
1.0,-0.5
2.5,-1.0
1.5,-1.5
19.5,20.0
0.0,-3.0
-1.0,-4.5
4.5,0.5
1.0,-1.5
2.5,3.5
12.5,9.0
3.0,0.0
1.5,-2.0
1.5,1.0
4.5,1.0
1.5,-3.0
0.5,1.5
-0.5,-0.5
-1.0,-3.5
3.0,0.5
2.0,-2.0
5.5,3.5
6.0,3.0
1.0,-1.0
2.5,1.0
2.0,0.5
-1.0,-1.0
23.0,20.5
-1.0,-4.0
2.5,1.0
1.0,-1.0
1.5,-2.5
-0.5,-3.0
3.5,2.5
10.5,16.0
0.0,-4.0
3.0,-2.0
3.0,-1.0
0.0,-2.5
26.5,26.5
9.5,23.5
6.5,8.0
14.5,11.5
-0.5,-3.5
6.0,1.5
-0.5,-2.5
0.5,-2.0
-1.0,-4.5
2.0,-2.5
11.5,7.5
3.5,0.5
9.5,7.0
4.0,2.5
2.5,2.0
1.5,6.5
-0.5,-3.5
3.0,0.0
1.0,-1.0
4.5,3.0
0.5,-1.0
2.0,-1.5
2.5,-2.0
0.5,-2.5
1.0,-2.0
12.0,10.5
5.0,3.5
6.0,7.5
8.0,4.0
1.5,-1.5
2.0,-3.0
2.5,-1.5
-0.5,-0.5
3.5,1.0
2.0,-1.0
3.5,17.5
0.5,-0.5
4.0,9.0
0.5,0.0
2.5,0.0
1.5,1.0
0.5,-3.0
14.5,48.0
3.0,0.5
-1.0,-1.5
