FAENZA,FORLI`
0.5,1.0
0.0,-0.5
1.5,0.5
4.0,3.5
2.5,1.5
12.0,10.5
0.0,-1.5
2.0,1.5
3.0,2.0
1.0,1.5
9.0,7.0
1.0,1.0
0.5,1.0
2.0,2.0
10.5,9.5
0.0,-1.0
9.0,8.0
3.0,1.5
7.5,7.0
2.5,1.0
-0.5,-0.5
-1.0,1.5
4.0,4.0
8.0,6.5
2.0,1.0
-0.5,-0.5
6.0,5.5
1.0,1.0
1.0,0.0
-0.5,0.5
8.5,10.0
1.5,0.5
-0.5,0.5
9.0,9.0
9.0,8.5
1.0,6.5
3.5,3.5
2.0,1.5
0.5,0.0
0.0,-1.0
0.5,0.0
1.5,0.0
0.5,0.0
1.0,0.0
8.5,9.0
3.0,2.5
3.5,3.5
2.0,0.5
8.5,8.0
0.0,0.0
2.5,2.0
0.5,0.0
0.5,0.0
0.5,0.0
2.5,1.5
0.5,-0.5
1.0,2.0
3.5,2.5
3.5,4.0
4.0,3.0
4.5,3.0
1.0,-1.0
0.0,0.0
8.5,7.0
1.5,1.0
1.5,0.5
13.0,12.0
2.5,0.5
0.0,23.5
5.0,4.5
0.5,1.0
0.0,-1.0
18.5,18.0
2.5,1.0
16.5,15.5
0.0,-1.5
3.5,1.5
-0.5,-1.0
9.0,7.0
3.0,1.5
0.5,-0.5
0.0,-1.5
3.0,1.5
-1.5,-1.5
9.0,8.5
0.0,0.0
29.0,29.0
2.5,1.5
0.0,0.0
2.0,1.5
14.0,12.0
4.0,5.5
8.0,7.0
0.0,-0.5
1.0,1.5
1.0,3.5
1.0,0.5
1.0,2.0
2.5,1.5
0.5,-0.5
31.5,31.0
9.0,9.0
4.0,3.5
0.0,0.0
0.0,-0.5
1.5,0.5
0.5,-0.5
9.5,9.5
2.5,1.5
3.5,2.0
9.0,9.5
0.5,0.0
0.5,-0.5
1.0,0.5
1.0,0.0
9.5,8.5
0.0,-0.5
9.5,8.0
-0.5,-1.0
2.5,3.5
12.5,12.0
2.0,1.0
10.0,9.5
-1.0,-1.0
4.5,8.5
-0.5,0.0
2.0,1.5
0.5,0.0
3.0,2.5
8.5,8.5
0.0,-1.5
1.0,1.5
1.0,1.5
11.0,11.0
-0.5,-1.5
