CESENATICO,GATTEO A MARE
-3.0,3.0
0.0,2.0
0.0,0.5
-1.5,1.0
1.0,1.0
-1.0,0.5
0.5,1.0
-1.5,8.0
0.5,2.5
-2.5,0.5
-3.0,1.0
-2.0,1.0
-3.0,1.0
-2.0,7.5
30.5,31.0
32.0,32.0
-0.5,11.0
-1.0,4.5
-1.0,8.0
8.0,7.0
-2.0,1.0
3.0,11.5
-3.0,3.5
0.0,20.0
-1.0,2.0
-1.0,7.0
0.5,1.5
-3.0,1.5
-3.0,0.5
-2.0,3.0
-1.5,5.0
-2.5,2.5
-1.0,2.5
-0.5,1.0
-1.5,3.5
-2.0,0.5
6.5,6.0
-2.0,1.0
-3.0,1.0
1.5,2.0
-3.0,1.0
8.5,9.5
-1.5,1.0
-3.5,4.0
-2.0,5.0
-2.0,6.0
0.5,0.5
-1.0,0.5
-1.0,0.5
49.0,60.0
-2.0,1.5
-3.0,1.0
-2.0,1.5
0.0,3.0
-2.5,1.0
-1.5,1.0
-1.5,1.5
-1.0,4.0
-0.5,1.5
0.5,1.5
-3.0,1.5
-2.5,10.5
-2.0,20.5
-2.5,1.0
-3.0,7.5
-2.5,1.0
-3.0,1.0
-2.5,4.5
-1.5,0.5
-2.0,1.5
-1.5,4.5
-2.0,6.0
-2.0,4.0
-0.5,0.5
22.5,21.5
-2.5,1.0
0.0,1.5
-2.5,1.0
0.0,3.0
-2.0,3.5
0.0,5.0
2.5,4.5
-1.5,1.0
-2.0,5.0
-2.5,0.5
-2.0,4.0
-2.5,3.5
-2.5,4.5
-2.5,4.5
-2.5,5.0
-2.5,4.5
-1.5,0.5
12.0,13.0
-2.0,1.0
-1.0,1.5
-3.5,3.5
-1.0,3.0
-3.5,3.5
-2.0,5.0
61.0,60.5
-2.0,2.5
-3.5,1.5
-3.0,2.5
-3.0,1.0
-2.0,5.0
-2.5,1.0
-2.0,8.5
-2.0,4.0
-2.5,3.5
-3.0,1.0
-1.0,2.5
-3.0,8.0
-2.0,1.0
-2.5,1.0
-1.5,1.0
-2.0,4.0
-2.5,1.0
-0.5,4.5
-1.0,1.5
-1.5,6.0
-2.0,0.5
-2.5,1.5
-3.5,0.5
5.5,6.5
-1.0,0.5
11.0,20.0
-2.5,1.0
2.5,9.0
-1.0,1.5
-1.5,4.5
0.5,1.0
3.0,4.5
1.0,8.0
1.0,2.5
-1.5,1.5
-2.5,6.5
