LUGO,RAVENNA
0.5,2.0
2.5,5.5
4.5,8.5
2.0,2.0
1.5,-0.5
-2.0,3.0
-0.5,-0.5
1.0,2.0
0.0,0.0
-2.5,-2.5
-1.0,0.5
6.0,8.5
4.0,1.0
3.0,2.5
3.5,4.0
2.0,4.0
2.5,1.5
2.0,2.0
2.5,4.5
4.5,6.5
0.5,1.5
1.5,1.0
3.0,3.5
0.0,5.5
2.0,7.5
0.0,0.5
5.0,8.5
1.5,4.0
-2.5,2.0
3.5,3.0
-0.5,2.5
1.0,2.0
0.0,6.5
1.5,-2.5
4.0,6.5
5.5,7.0
3.5,0.5
0.0,-0.5
-0.5,2.0
0.5,3.0
-0.5,1.5
0.0,0.5
1.5,4.5
1.0,3.5
39.5,41.5
1.5,0.5
24.0,28.5
5.0,2.5
5.0,4.0
0.0,2.0
6.0,6.0
0.5,2.0
4.0,4.0
-0.5,-1.0
4.0,3.0
1.0,2.0
-1.0,1.5
1.0,0.5
10.5,6.5
11.0,15.5
-0.5,2.5
5.5,7.5
1.5,1.0
0.0,-1.5
1.5,5.5
5.5,2.5
6.0,7.0
2.0,3.0
1.5,-1.0
3.5,3.5
-0.5,3.5
0.5,-2.5
55.5,55.0
0.5,-0.5
0.0,1.5
4.0,3.5
0.5,0.5
2.0,3.5
7.0,2.0
3.5,6.5
1.5,2.5
36.5,36.5
4.0,1.5
6.0,4.0
2.5,2.5
9.0,5.0
3.0,4.5
-1.5,12.0
2.0,1.5
0.5,2.5
1.5,2.0
-2.5,0.5
5.5,0.0
1.5,1.0
10.0,13.5
2.5,0.0
3.5,4.5
0.5,1.0
9.0,9.0
0.0,3.5
2.5,3.5
0.0,2.0
-1.5,-1.5
5.5,0.5
-0.5,0.0
4.0,4.5
8.5,12.5
0.0,-0.5
19.0,21.0
2.0,3.5
0.5,3.5
3.0,4.5
1.0,1.5
7.0,10.0
25.5,29.0
48.5,52.0
9.5,12.0
2.0,1.0
4.0,4.0
2.5,4.5
3.5,3.5
-2.0,-0.5
1.0,-1.0
1.0,1.5
1.0,2.5
4.5,6.0
3.5,2.0
3.0,5.0
0.5,1.5
7.5,11.0
1.5,-0.5
55.5,62.0
18.0,19.0
2.0,3.0
3.5,4.0
-1.0,4.5
0.0,15.0
1.5,5.0
-1.5,-1.5
20.0,15.0
0.5,-3.0
0.5,9.5
3.5,2.0
1.5,5.0
-1.0,1.5
9.0,6.5
2.0,1.5
3.0,4.5
9.0,8.0
0.5,4.5
1.5,0.5
-0.5,0.5
8.0,4.5
-2.0,3.5
0.0,1.0
1.0,2.0
25.0,22.5
6.5,4.0
4.0,4.5
8.5,9.0
2.5,8.0
3.0,6.0
-0.5,2.0
13.0,20.0
16.5,25.0
8.0,6.0
3.5,5.0
0.5,2.5
0.0,2.0
0.5,3.0
-0.5,1.0
1.0,0.0
27.5,31.0
5.0,2.5
1.5,-2.5
13.5,18.5
1.5,2.5
7.0,6.0
-0.5,-0.5
2.0,4.0
3.0,2.0
0.0,1.5
3.5,3.5
-1.0,2.0
13.5,11.0
28.0,27.0
1.0,2.0
3.5,3.5
6.0,7.0
1.0,2.5
-1.5,-1.0
1.0,-0.5
0.0,3.5
0.0,3.0
4.0,2.5
-0.5,0.5
13.5,11.5
4.0,6.0
1.0,1.0
1.5,2.0
0.0,1.0
0.5,2.5
3.0,10.0
4.0,2.5
1.0,2.5
1.0,1.5
3.0,3.5
0.0,-0.5
4.0,4.5
2.0,5.5
-1.0,3.0
1.0,1.0
1.5,3.5
-1.0,4.5
1.0,-1.0
6.0,6.0
2.5,8.0
-1.5,1.0
3.5,3.0
1.5,3.0
1.0,3.0
1.5,2.0
5.0,10.5
1.0,1.0
-1.5,0.0
5.5,3.5
-0.5,-0.5
0.0,0.0
-0.5,0.0
4.5,4.5
-0.5,-1.5
3.5,3.0
3.0,3.0
5.5,6.5
