PADOVA,MONSELICE
4.0,2.0
2.0,-0.5
4.0,2.0
6.0,2.5
7.0,7.5
4.5,2.0
83.5,81.0
5.0,4.0
2.5,0.0
13.0,11.0
7.5,6.5
3.5,1.0
0.0,-1.5
3.0,-1.0
3.0,1.0
1.0,-0.5
3.5,4.0
41.0,40.5
5.5,4.5
0.5,0.0
1.5,8.0
1.0,-0.5
4.0,3.0
3.5,4.0
2.5,3.5
1.0,-2.0
0.5,-1.0
2.5,-1.5
2.5,0.0
5.0,3.0
0.5,-1.5
2.0,6.0
1.5,0.5
1.5,1.0
4.5,3.5
31.5,30.5
7.0,3.5
-1.0,0.5
46.5,46.0
1.5,0.0
6.5,4.5
2.0,2.5
0.5,-0.5
14.5,18.0
6.0,4.5
-0.5,3.5
1.0,-1.5
0.0,1.0
11.5,11.5
4.0,1.0
3.5,-0.5
9.0,6.5
3.0,1.0
0.0,4.5
2.5,1.0
9.5,8.5
7.0,6.0
5.0,6.5
13.5,12.0
6.5,13.0
2.5,0.0
4.5,8.0
2.0,-2.0
9.0,8.0
5.5,3.5
7.0,7.5
2.5,1.0
7.5,6.5
4.0,5.0
3.5,2.5
10.5,9.5
7.5,4.5
4.0,3.5
2.5,1.0
0.5,-2.0
3.5,1.0
0.5,1.5
4.5,1.5
0.5,-1.5
22.5,21.0
2.5,5.0
0.5,2.0
14.0,14.5
8.5,6.5
-2.0,-3.0
1.5,-2.0
3.0,2.5
2.5,0.5
2.0,0.0
5.0,3.0
2.0,0.5
41.5,38.5
2.0,0.0
-0.5,-1.5
3.0,0.0
1.0,-0.5
1.0,1.5
1.5,0.0
3.5,2.0
7.5,4.5
4.0,120.0
3.0,0.0
-1.0,0.0
3.0,1.0
5.0,3.0
4.5,3.0
6.5,6.5
74.5,74.0
16.0,13.5
5.5,8.0
28.5,24.5
6.5,6.0
8.5,4.5
10.0,8.0
2.0,0.5
6.0,5.0
2.5,5.5
4.5,3.0
2.5,-0.5
2.0,-1.0
5.5,3.0
1.0,-3.0
12.0,8.5
4.5,3.0
10.0,7.0
1.5,-0.5
0.5,-1.5
9.5,8.5
0.0,-1.0
4.5,4.5
4.5,3.5
6.0,5.0
1.5,-0.5
-3.0,-2.0
7.5,6.5
2.0,0.0
22.0,22.0
1.5,0.5
3.0,6.0
6.5,2.5
2.0,-1.5
6.0,4.0
17.0,14.0
3.5,2.0
3.5,4.5
1.0,-1.0
