TRIESTE CENTRALE,VENEZIA MESTRE
1.0,-1.0
0.0,0.5
0.5,-8.5
3.5,-10.0
1.0,-3.0
1.0,-6.0
1.5,-1.0
0.5,-0.5
0.0,-8.5
0.5,-6.0
0.0,-1.0
0.5,-5.0
0.5,-6.5
0.5,-9.0
0.5,1.0
0.5,-11.0
0.5,7.5
0.5,-8.5
1.0,-0.5
0.5,0.5
0.5,0.0
0.0,-8.5
1.5,1.5
1.0,0.0
0.5,-2.0
0.0,-2.5
0.0,-4.5
1.0,0.5
0.5,0.0
0.5,1.5
0.5,10.0
0.5,-1.0
1.0,1.0
0.5,-1.5
1.0,0.5
10.0,15.5
0.5,-2.0
0.5,-1.5
1.0,-9.0
0.0,-14.0
1.5,-1.0
0.5,-8.5
0.5,-9.0
1.0,-7.0
0.5,-8.5
1.0,-10.5
0.5,-6.5
1.0,-7.0
0.5,-5.0
18.0,12.5
0.5,12.0
0.0,-10.5
1.0,-1.5
0.0,-2.0
0.5,-5.5
1.0,-10.5
0.5,-13.0
5.0,-8.5
1.0,1.0
0.5,-7.5
0.5,-1.0
0.5,-9.0
0.5,0.0
0.5,-2.5
0.5,-11.0
0.5,-2.0
0.0,-8.5
0.0,-2.5
0.5,-0.5
0.5,1.0
0.5,0.5
0.5,-12.0
0.5,-1.0
0.5,-0.5
1.0,-11.5
0.0,-1.0
0.5,0.5
1.5,-10.5
0.5,1.5
0.5,3.5
0.5,0.5
0.0,-10.5
1.0,-9.5
0.5,-8.5
0.5,-12.5
1.0,-8.0
0.0,-10.0
0.5,-8.0
0.5,0.5
1.0,3.5
0.5,3.0
0.5,-0.5
1.0,43.5
0.0,-11.0
0.5,-0.5
0.5,-1.0
1.0,0.5
0.5,-1.0
0.0,0.0
1.0,2.5
0.5,-11.0
0.5,1.5
0.5,-3.0
1.0,-6.5
0.5,-11.5
0.5,-7.0
0.5,-11.5
1.0,-2.5
3.5,-11.5
0.0,0.5
64.5,61.0
0.0,-6.5
1.0,-1.0
0.0,-2.0
1.0,-3.0
1.0,-2.5
0.5,-1.5
0.5,-14.5
0.0,3.0
0.5,1.5
0.5,-2.5
0.0,-0.5
2.0,-1.0
0.5,-6.5
0.5,-2.0
1.0,-12.5
0.5,3.5
1.0,0.0
0.0,-0.5
0.5,0.0
0.5,-7.5
0.0,-11.5
2.5,0.5
0.5,-6.5
0.5,3.0
0.5,-4.0
0.5,6.5
1.5,-6.5
1.5,-6.0
0.0,-12.0
0.5,-1.0
0.5,-12.5
0.0,2.0
0.5,-7.0
0.0,-2.5
0.0,-2.5
0.0,0.5
0.5,-1.5
0.5,-13.5
0.0,-9.5
0.0,3.5
