CASTELFRANCO D'EMILIA,BOLOGNA C.LE
14.0,10.5
3.5,2.0
0.5,-2.5
45.5,44.0
59.0,57.0
4.0,1.0
8.5,5.5
7.0,42.0
1.0,-1.0
0.5,-2.0
4.5,3.0
0.5,-3.5
1.5,2.0
2.5,-2.0
3.0,0.0
13.5,11.0
9.0,6.5
0.0,0.5
1.0,2.0
2.0,-1.5
3.0,3.0
4.0,1.0
1.5,-1.0
8.0,4.5
15.5,27.5
33.0,31.0
3.5,2.5
0.0,1.5
59.0,66.0
3.0,9.5
4.5,1.5
1.0,-2.0
3.5,1.5
4.0,1.0
1.5,2.5
4.0,2.0
2.0,1.0
2.5,-1.0
43.5,43.5
5.0,1.0
2.0,3.0
1.0,-2.0
6.0,5.0
1.5,1.5
0.5,-2.5
6.5,7.0
43.0,41.0
1.5,-2.5
6.0,3.5
3.5,6.5
5.5,2.5
6.5,2.5
5.5,2.0
36.0,35.5
6.0,5.0
1.5,1.0
3.5,2.0
11.0,8.5
3.5,-0.5
3.0,1.5
1.5,-1.5
12.5,11.0
7.0,3.5
0.5,-3.0
5.0,0.5
2.5,-0.5
3.0,0.5
1.0,-2.0
17.0,13.5
3.5,3.0
4.0,2.0
5.5,4.0
2.5,2.5
1.5,-2.5
2.5,2.5
3.5,2.5
11.5,9.5
0.0,-3.5
99.5,101.0
2.0,2.5
1.5,1.0
0.5,-0.5
5.0,3.0
3.5,3.0
48.0,52.0
6.5,3.0
1.5,2.5
2.0,-1.5
27.5,26.0
10.5,7.5
7.5,3.5
2.0,-0.5
1.5,-1.0
5.0,2.5
5.0,2.5
2.0,0.0
2.5,2.5
1.5,2.0
2.5,-0.5
5.0,2.0
1.5,4.5
3.0,1.0
0.5,3.0
10.0,7.0
1.5,4.0
10.0,11.0
19.0,21.0
1.5,-1.5
5.5,2.0
2.0,1.5
1.5,-2.0
0.5,2.0
141.5,152.0
2.5,2.0
6.0,6.0
4.0,6.5
6.5,5.0
2.0,1.0
13.5,12.0
4.0,3.0
0.5,-2.5
28.5,38.0
1.5,3.5
3.0,2.5
1.0,-2.5
1.0,-2.5
1.5,1.5
12.0,10.0
7.5,6.5
2.0,4.5
7.5,11.5
1.5,-2.0
62.5,62.0
2.0,2.0
1.0,-2.5
4.0,4.0
1.0,-1.0
0.5,-0.5
1.5,1.0
8.5,4.5
10.0,7.5
15.5,13.0
1.0,2.5
