MILANO CENTRALE,TORINO PORTA SUSA
15.5,18.5
1.5,6.5
12.5,15.0
8.0,4.0
10.5,13.0
4.5,6.0
4.5,1.5
16.5,20.0
5.0,4.5
6.5,11.0
4.0,4.5
1.5,0.5
6.0,6.0
3.0,3.5
36.5,40.5
69.5,72.0
7.0,13.0
7.5,6.5
9.0,8.5
4.5,7.5
10.0,11.0
14.5,13.0
2.5,-0.5
5.5,10.5
5.5,4.5
5.0,4.5
19.5,25.5
6.5,9.0
5.5,3.5
85.0,95.0
19.5,17.0
5.0,5.0
16.0,31.5
16.5,17.0
12.5,19.0
1.5,-2.0
1.0,17.5
1.5,-1.0
4.0,4.0
5.0,5.5
-3.0,0.0
16.5,39.0
24.5,30.0
4.0,11.0
38.0,64.5
14.5,11.5
6.5,6.5
4.0,14.0
5.0,2.5
6.5,6.5
31.5,32.5
3.5,17.0
7.0,11.5
4.5,5.5
11.5,8.5
2.5,2.0
1.0,19.0
17.0,20.5
3.0,8.0
9.0,11.5
7.0,10.0
5.5,18.0
99.5,100.5
11.5,9.0
67.0,75.0
9.0,30.5
6.5,6.5
16.5,21.0
37.0,37.5
17.5,18.0
0.5,7.5
6.5,15.5
1.5,1.5
8.5,7.0
5.0,11.5
13.5,16.5
1.5,1.5
46.5,55.5
5.0,3.5
2.5,4.5
33.5,32.5
5.0,7.5
