FABRIANO,FOLIGNO
2.5,1.5
7.5,3.0
-0.5,-2.0
4.0,4.0
7.0,4.5
0.0,3.0
3.5,2.0
1.0,1.5
9.5,7.5
2.5,4.5
13.5,17.0
8.5,7.5
2.0,-1.0
2.0,7.0
-1.0,-2.0
3.0,10.0
3.0,10.0
9.0,7.5
6.0,5.0
2.5,1.0
3.0,2.5
4.5,7.0
34.5,34.5
2.0,0.5
0.5,-0.5
25.5,28.5
5.0,8.5
6.0,4.5
15.0,13.0
0.0,1.0
4.5,6.5
5.0,3.0
9.0,7.5
2.0,8.0
1.5,0.5
4.0,10.5
0.5,8.5
0.5,4.5
1.5,5.5
-0.5,-4.0
2.0,-0.5
-1.5,-2.0
3.5,2.0
1.0,-1.5
18.5,18.0
3.0,1.5
-0.5,-0.5
4.0,16.0
7.0,3.5
3.0,0.5
4.0,4.5
1.0,-1.0
2.5,1.0
2.0,3.0
7.5,5.5
8.5,7.0
3.0,2.5
1.0,0.5
4.5,8.0
6.5,5.5
9.5,8.0
-1.5,-2.5
-1.5,4.0
5.5,3.0
4.0,0.0
3.5,3.0
3.5,2.5
-1.0,0.5
-0.5,6.5
3.0,1.5
11.5,8.5
25.5,26.5
6.5,4.5
1.0,2.5
2.0,2.5
3.0,2.5
6.5,4.0
11.5,14.0
8.5,14.0
0.5,3.5
3.0,0.5
7.0,4.5
-2.0,-0.5
11.5,11.5
3.5,2.5
0.0,-6.0
0.0,10.0
1.5,-0.5
3.0,1.0
6.5,6.0
18.5,17.0
14.5,14.5
4.0,1.0
0.5,-1.5
1.0,-0.5
0.5,-1.0
8.0,5.5
7.0,6.0
1.5,-1.5
2.5,5.5
10.5,9.5
1.0,-1.5
2.5,1.5
5.0,7.0
0.0,0.5
3.0,2.5
6.5,4.5
2.0,7.0
11.0,15.0
3.0,0.0
5.5,4.0
10.0,7.5
4.5,2.5
1.0,0.5
6.5,5.0
1.0,6.5
4.5,2.5
4.5,2.5
3.5,0.5
1.5,2.0
2.5,1.0
-1.0,1.5
19.0,18.0
3.0,6.0
-2.5,4.0
15.0,18.5
6.5,7.0
48.0,58.5
4.0,1.5
-2.0,1.0
4.5,5.5
2.5,2.5
0.0,-2.0
8.0,7.0
0.0,-1.5
12.0,12.0
28.5,38.0
1.5,2.0
0.0,2.0
1.0,-1.0
10.5,10.5
10.0,8.0
11.0,13.0
-0.5,-2.0
10.5,11.5
8.0,5.0
-0.5,0.5
4.0,1.5
7.5,15.0
