CASTELBOLOGNESE,FAENZA
-0.5,0.5
-2.0,0.0
1.0,1.5
3.0,4.0
2.0,2.5
11.0,12.0
-1.0,0.0
-0.5,2.0
2.0,3.0
0.0,1.0
0.0,9.0
1.0,1.0
-0.5,0.5
1.5,2.0
5.5,10.5
-1.0,0.0
4.5,9.0
2.5,3.0
7.5,7.5
3.0,2.5
-2.5,-0.5
-1.0,-1.0
3.5,4.0
3.5,8.0
1.5,2.0
0.0,-0.5
4.0,6.0
0.5,1.0
1.0,1.0
0.0,-0.5
6.0,8.5
0.5,1.5
-0.5,-0.5
6.0,9.0
5.0,9.0
1.0,1.0
3.5,3.5
1.5,2.0
0.5,0.5
-2.5,0.0
0.0,0.5
-1.5,1.5
0.5,0.5
0.0,1.0
4.5,8.5
3.0,3.0
3.5,3.5
2.0,2.0
5.5,8.5
-0.5,0.0
2.0,2.5
0.5,0.5
0.0,0.5
-2.0,0.5
2.5,2.5
1.0,0.5
0.0,1.0
3.0,3.5
2.5,3.5
3.0,4.0
4.5,4.5
0.5,1.0
0.5,0.0
6.5,8.5
1.5,1.5
1.0,1.5
13.0,13.0
2.0,2.5
-0.5,0.0
4.0,5.0
0.0,0.5
-0.5,0.0
17.5,18.5
2.0,2.5
15.5,16.5
-2.0,0.0
3.0,3.5
-1.5,-0.5
9.0,9.0
2.5,3.0
-1.0,0.5
-1.0,0.0
3.0,3.0
-2.5,-1.5
8.5,9.0
-0.5,0.0
28.5,29.0
2.0,2.5
-0.5,0.0
1.0,2.0
14.0,14.0
3.0,4.0
5.5,8.0
-0.5,0.0
0.5,1.0
-1.5,1.0
1.5,1.0
0.5,1.0
2.0,2.5
0.5,0.5
30.0,31.5
4.0,9.0
2.5,4.0
0.0,0.0
-2.5,0.0
0.5,1.5
0.5,0.5
8.5,9.5
2.5,2.5
3.0,3.5
5.5,9.0
1.0,0.5
0.0,0.5
1.0,1.0
0.5,1.0
10.0,9.5
0.0,0.0
2.5,9.5
-1.5,-0.5
2.0,2.5
6.5,12.5
-0.5,2.0
9.5,10.0
-2.5,-1.0
4.0,4.5
-1.0,-0.5
2.0,2.0
0.5,0.5
2.5,3.0
4.5,8.5
-0.5,0.0
-2.0,1.0
1.0,1.0
4.5,11.0
-1.0,-0.5
