BELLARIA,IGEA MARINA
1.5,1.0
0.5,0.0
-0.5,0.5
0.5,1.0
0.0,0.0
-0.5,-0.5
0.5,1.0
6.5,6.0
2.0,2.5
-0.5,0.0
0.0,0.0
0.0,0.0
7.0,7.0
30.0,31.0
31.0,32.0
9.5,9.5
4.0,4.5
7.5,7.5
5.5,5.0
0.0,1.0
11.0,11.5
20.5,21.0
1.0,1.0
6.0,7.0
0.0,0.0
0.5,0.5
-0.5,0.0
1.5,1.5
4.0,3.0
1.5,1.5
1.0,1.5
0.0,-0.5
3.0,3.5
0.0,0.0
4.5,4.0
0.5,0.5
0.0,0.0
1.5,2.0
0.0,0.0
8.5,8.0
0.0,0.0
2.5,1.5
3.5,3.0
4.5,3.5
-0.5,-0.5
-0.5,-0.5
59.0,58.0
1.0,1.5
0.0,-0.5
1.0,1.0
2.0,1.5
0.0,0.0
0.0,1.0
1.5,3.0
0.5,1.0
1.5,1.5
0.5,0.5
9.0,8.5
19.5,19.5
0.5,0.5
6.0,5.5
0.0,1.0
0.0,0.0
3.5,3.0
-0.5,0.0
0.5,0.5
4.0,4.0
4.5,4.0
3.5,3.0
0.0,0.0
20.5,20.5
0.5,0.5
1.0,2.0
0.0,-0.5
2.5,2.5
4.0,4.0
3.5,3.5
1.0,2.0
4.5,4.0
-0.5,1.0
2.5,2.5
3.0,2.5
3.5,3.0
3.5,2.5
3.0,3.0
-0.5,0.5
12.5,12.0
-0.5,0.0
0.5,2.5
2.0,2.0
2.0,2.5
2.0,2.0
3.5,3.0
59.5,59.5
1.5,1.0
0.0,-0.5
1.0,1.0
0.5,0.5
3.5,3.0
0.0,0.0
7.5,7.5
2.5,2.0
2.5,2.0
-0.5,0.5
1.5,1.5
6.5,5.5
0.0,0.0
0.0,1.0
0.5,0.5
2.5,2.5
1.0,2.5
3.5,3.5
0.5,1.0
5.5,5.0
0.0,1.0
1.0,1.5
0.0,0.0
-0.5,0.5
19.0,19.0
0.0,0.0
8.0,7.5
0.5,1.0
3.0,3.0
0.0,0.5
4.0,4.0
7.0,6.5
2.0,1.5
1.0,1.5
4.5,3.5
