S.LAZZARO DI SAVENA,BOLOGNA C.LE
0.5,0.0
6.0,5.0
1.0,4.0
1.0,1.0
1.0,-0.5
1.0,0.5
3.0,2.0
8.0,5.5
0.5,1.0
0.5,8.5
3.0,2.5
1.5,2.5
11.0,12.5
1.0,2.5
0.5,-1.5
3.0,2.0
1.0,3.5
1.5,0.0
0.0,-1.5
2.0,-0.5
0.5,4.5
1.0,-0.5
1.0,0.0
1.5,-1.0
1.0,3.5
2.0,1.5
0.5,0.5
0.5,-1.0
1.0,9.0
0.5,-1.5
0.5,2.0
5.0,3.5
7.0,7.5
1.0,1.5
2.5,1.5
0.5,-0.5
0.5,0.5
1.0,1.0
2.5,4.5
2.5,1.5
4.0,1.5
1.5,1.0
3.0,4.0
0.5,1.0
3.0,6.5
2.5,0.0
0.5,4.5
1.0,0.0
2.5,2.0
0.5,0.5
0.5,-1.0
4.5,2.0
1.0,-1.0
9.0,20.0
0.5,0.0
9.5,10.0
32.5,92.5
0.5,1.0
1.0,-1.0
1.0,1.0
13.5,11.0
0.5,4.5
1.0,-0.5
1.0,-0.5
0.5,-0.5
1.0,5.0
1.0,-1.5
1.0,-0.5
1.5,2.0
1.0,3.5
0.5,-1.5
0.0,-2.0
0.5,0.0
5.0,4.5
7.0,7.5
0.5,-1.5
1.0,-1.0
6.5,11.5
27.0,24.0
1.0,1.0
0.5,0.5
3.0,3.0
1.0,1.0
2.5,0.5
26.0,24.0
1.0,2.0
0.5,3.0
0.5,0.0
8.5,6.5
6.0,3.5
2.5,1.5
1.0,2.5
1.0,1.5
2.5,3.0
1.0,0.0
0.5,-1.0
2.0,2.0
1.0,2.0
3.0,3.5
19.0,18.0
0.5,0.0
1.0,-1.0
1.0,3.0
1.5,-0.5
2.5,1.0
0.5,1.0
0.5,0.0
1.0,3.5
0.5,4.0
5.0,3.0
1.0,2.0
1.0,-0.5
0.5,0.0
0.5,-1.0
1.0,-0.5
0.5,9.0
0.5,3.5
5.0,4.0
1.0,-0.5
0.5,1.0
0.5,0.5
101.5,112.5
1.0,3.5
3.0,2.5
2.5,1.0
0.0,-1.5
0.5,-1.0
10.5,11.0
2.0,3.0
0.5,-0.5
0.5,0.5
1.5,0.5
1.0,0.5
1.0,2.5
1.0,-0.5
2.0,2.5
1.0,0.5
0.5,1.5
2.0,2.0
2.5,5.5
0.5,0.5
2.0,1.5
1.0,0.5
1.0,1.0
2.0,0.0
1.0,1.0
0.5,-1.0
7.0,6.0
1.0,0.0
1.5,3.0
16.5,17.5
1.5,0.0
0.5,2.0
1.0,-0.5
2.0,4.5
0.5,-1.0
3.0,5.0
1.5,-0.5
8.5,6.0
1.0,0.0
0.5,3.0
0.5,-0.5
0.5,-1.5
0.5,1.5
1.0,-0.5
0.5,-0.5
0.5,3.0
2.0,1.0
0.5,0.5
0.5,-1.5
0.5,0.0
0.0,-0.5
68.0,66.0
2.5,1.0
0.5,-0.5
0.5,-0.5
8.5,7.5
1.0,3.5
2.5,1.5
3.0,2.0
0.5,-0.5
1.0,2.0
0.5,-2.0
1.0,7.0
0.5,-0.5
10.5,9.0
2.5,7.5
0.5,1.0
0.5,0.5
0.5,2.0
5.0,3.5
1.5,3.5
2.5,0.5
1.5,2.0
1.0,-0.5
1.0,1.0
1.0,0.0
0.0,-1.5
5.0,2.5
1.0,2.0
1.0,1.0
0.5,-1.5
5.0,6.0
3.5,7.0
0.5,0.0
0.5,-1.0
4.5,3.5
1.0,0.5
0.5,0.5
5.0,5.5
5.0,3.0
1.0,1.5
1.5,-1.0
1.0,3.0
1.0,-0.5
2.5,0.5
6.0,7.0
11.5,10.5
0.5,-0.5
3.0,4.0
3.0,2.5
1.0,3.0
0.5,-1.0
0.5,0.0
0.5,0.5
1.0,0.5
