TORINO LINGOTTO,ASTI
3.0,2.0
1.0,0.0
0.5,-1.0
6.0,6.5
15.0,18.5
1.0,4.5
8.0,8.5
1.0,3.0
3.5,4.0
2.0,1.5
7.0,6.5
1.5,0.0
0.0,0.0
-0.5,-1.5
1.0,0.5
2.0,0.0
9.0,12.5
10.0,10.5
1.0,1.0
1.0,1.0
2.0,0.5
1.5,0.0
2.5,-0.5
0.5,-1.0
0.0,-1.5
1.0,6.5
-1.0,2.0
4.0,7.0
0.0,1.5
0.0,1.5
-0.5,-1.5
6.5,4.0
5.5,4.0
0.5,5.0
4.5,1.5
3.5,0.5
-1.0,2.0
2.0,0.5
5.5,10.5
0.0,3.5
2.0,2.0
4.0,12.5
0.0,2.5
2.5,4.0
4.0,4.0
4.5,5.0
4.5,15.5
4.0,3.5
3.5,5.0
2.0,-0.5
0.0,4.0
3.5,0.0
4.0,6.5
0.5,4.0
2.0,1.5
4.0,10.0
5.0,2.0
2.0,0.0
5.0,4.0
6.5,4.5
1.0,0.0
8.5,10.5
3.0,0.5
-1.0,-1.5
5.0,4.0
3.5,10.5
5.0,4.5
-1.0,-1.0
1.5,-0.5
1.0,-1.0
3.0,5.0
3.5,2.0
0.0,7.5
1.0,0.5
1.5,-1.5
9.0,19.5
3.0,3.5
1.0,3.0
7.0,8.0
0.0,7.5
1.0,9.0
5.5,5.5
5.0,3.0
7.0,8.0
1.0,0.0
1.0,3.0
2.0,0.0
4.0,4.0
9.0,11.5
10.0,9.0
4.0,6.5
-0.5,2.0
1.0,0.5
0.5,0.5
1.0,-0.5
1.0,0.0
5.0,7.0
2.0,2.5
2.0,0.5
0.0,6.5
-2.0,-1.0
3.0,2.0
3.0,2.0
4.0,2.5
6.0,6.0
10.0,8.0
5.5,5.5
1.0,-1.0
-1.0,0.0
1.0,-0.5
7.0,6.5
-1.0,8.5
2.0,4.0
1.5,1.5
10.0,6.0
3.0,6.0
2.0,3.0
2.5,2.0
0.0,6.5
8.0,9.0
1.0,-0.5
1.0,6.5
1.0,1.5
4.0,8.5
1.0,7.0
5.0,6.5
0.0,0.5
6.0,6.0
0.0,0.0
12.0,13.0
4.5,19.0
-0.5,-1.0
8.5,8.5
4.0,3.0
0.0,-1.0
2.0,-0.5
3.5,4.0
3.0,3.0
0.0,2.5
1.5,-1.0
2.5,4.5
9.0,14.5
