ORTE,ROMA TIBURTINA
-7.0,10.0
-5.0,6.5
49.0,69.5
-7.5,13.0
-8.5,10.5
7.0,10.0
1.5,3.5
3.0,7.0
-7.5,12.5
7.5,9.5
-7.5,8.5
2.5,35.5
-8.0,6.5
-5.5,14.0
0.0,4.0
-5.5,3.0
-8.0,4.0
-7.5,5.0
-2.5,14.5
17.0,26.5
0.0,14.0
-6.5,11.5
-6.0,18.0
95.5,99.5
-7.0,10.0
-8.5,9.0
3.5,18.0
-8.0,14.5
-8.5,5.0
-7.5,12.0
-5.5,6.5
-8.0,5.0
-1.0,7.0
15.0,16.0
-8.0,11.0
-2.5,6.5
-9.0,37.0
13.5,15.5
-4.0,2.5
2.5,9.5
-8.5,11.5
-5.5,4.0
-8.5,5.5
-5.5,8.0
-4.0,7.0
-7.5,10.0
-7.5,2.0
-9.5,0.5
2.0,15.0
-8.0,3.5
-7.5,2.0
-9.0,0.5
-7.0,21.0
-6.5,10.5
-7.5,9.0
-7.0,5.0
-5.5,6.0
-6.0,13.5
-7.0,3.0
18.5,26.0
0.5,3.0
-8.0,19.5
-5.0,16.0
-4.5,18.0
-7.5,8.5
5.0,20.0
18.5,41.0
-8.5,2.0
-7.5,0.5
-5.0,5.0
-7.5,3.0
19.5,25.0
2.5,15.5
31.0,37.5
-8.5,4.5
