BOSCHI S.ANNA,LEGNAGO
1.5,0.5
1.0,0.0
1.0,0.5
1.0,1.0
-0.5,-1.5
2.5,1.5
3.0,1.5
1.0,0.0
0.5,-1.0
1.0,0.0
2.0,1.0
2.5,1.5
3.5,2.5
2.0,1.0
0.5,-0.5
2.0,1.5
1.0,0.0
0.5,0.0
2.0,1.5
2.0,1.5
1.0,0.0
1.5,0.5
2.0,0.5
1.5,1.5
0.5,-0.5
1.0,0.0
1.0,1.0
5.5,4.5
1.5,1.0
1.0,0.0
0.5,-1.0
1.0,0.0
3.0,3.0
3.5,3.0
1.0,0.5
1.0,0.0
1.0,-0.5
1.0,0.5
1.0,0.5
1.0,-0.5
0.5,-1.0
3.0,2.0
9.5,4.5
1.0,0.5
1.5,0.0
1.0,0.0
1.0,0.0
1.5,0.5
1.0,0.5
0.5,0.0
1.5,0.5
1.5,1.5
0.0,-0.5
2.0,2.0
0.5,-0.5
1.0,1.0
0.5,0.5
1.0,0.5
0.5,-0.5
0.5,-0.5
1.5,0.5
0.5,-0.5
0.5,-1.0
1.0,0.0
0.5,-0.5
0.0,-1.0
0.5,-1.0
3.0,2.0
0.5,-0.5
0.5,0.0
2.0,1.5
3.5,3.0
0.5,-1.0
1.5,0.5
0.5,-0.5
0.5,-0.5
1.0,-0.5
0.5,-1.0
0.5,0.0
4.5,4.0
0.5,0.0
0.5,0.0
0.5,-0.5
0.5,0.0
0.5,0.5
1.0,0.0
1.0,0.0
0.5,-0.5
1.5,0.5
1.5,0.5
3.0,2.0
0.5,-1.0
2.0,2.0
1.5,0.5
1.0,-0.5
1.0,0.5
1.5,1.0
0.5,-0.5
2.0,1.0
1.5,1.0
0.5,0.0
1.0,0.0
1.0,0.5
1.0,0.5
2.0,1.5
1.0,0.5
1.0,-0.5
2.0,1.0
1.0,-0.5
1.0,0.0
1.0,-0.5
6.5,5.5
1.0,0.5
0.5,-1.0
1.0,-0.5
1.0,0.5
1.5,0.5
1.5,1.0
1.0,1.0
0.5,-0.5
0.5,-1.5
1.5,0.5
0.5,-0.5
2.5,2.0
1.0,0.0
2.5,2.5
1.0,0.5
1.0,0.5
2.0,1.5
0.5,-0.5
0.5,-0.5
1.5,0.0
1.0,0.0
0.5,-0.5
0.5,0.0
1.0,0.5
1.5,1.0
1.5,1.0
0.0,-1.0
0.5,0.0
0.5,-0.5
0.5,-1.0
0.5,-0.5
2.0,2.0
0.5,-0.5
1.5,1.0
0.5,-0.5
0.5,-1.0
1.0,0.0
0.5,0.0
0.5,-1.0
1.0,0.5
0.5,-1.0
2.0,0.5
1.0,0.0
1.5,0.5
0.5,-1.0
0.5,-0.5
1.5,0.5
2.5,1.0
1.5,0.5
3.5,2.5
1.0,-0.5
1.5,0.5
0.5,-0.5
3.0,3.0
1.5,0.0
21.0,19.5
1.0,0.0
1.0,0.0
2.0,1.5
2.0,1.0
3.0,3.0
0.5,-0.5
1.5,1.0
3.5,2.5
1.5,0.5
0.5,-0.5
0.5,-1.0
2.5,1.5
0.0,-1.5
0.5,-1.0
0.5,-0.5
0.5,0.0
1.0,0.0
1.5,0.5
0.5,-1.0
1.0,1.0
1.0,-0.5
0.5,-0.5
0.5,-1.0
6.0,4.5
1.5,1.0
2.5,1.5
1.5,0.5
1.0,0.0
4.0,2.5
1.0,0.0
2.0,1.5
2.0,1.5
2.5,1.5
0.5,0.0
2.0,0.5
10.5,9.0
0.0,-1.0
1.0,1.0
1.0,0.0
0.5,-0.5
4.0,2.5
1.0,-0.5
0.0,-1.0
0.5,0.0
0.5,-0.5
1.5,0.5
3.5,3.0
44.5,43.0
3.0,2.0
0.0,-1.0
2.0,1.5
1.5,1.0
1.5,1.0
0.5,-0.5
2.0,1.0
3.5,2.5
3.5,3.0
0.5,0.0
0.5,0.0
2.0,1.0
16.0,18.5
