STRESA,ARONA
0.5,0.0
-1.0,-0.5
-2.5,-3.5
6.0,5.5
3.0,13.5
1.0,-0.5
-2.0,-3.5
0.5,-1.0
2.0,1.0
2.5,0.0
0.0,-1.5
-1.0,-3.0
0.5,-1.0
8.0,6.0
6.0,4.5
0.0,-2.0
-1.0,-0.5
-0.5,-3.0
-1.5,-1.5
-0.5,-1.5
2.5,2.0
2.0,1.0
2.0,0.0
0.0,-1.5
-1.0,-1.5
-1.0,6.0
0.0,-1.0
1.5,-0.5
0.5,1.0
-2.0,-2.5
-2.0,-3.0
11.5,9.0
15.0,16.0
-1.0,-2.0
-1.0,-2.0
0.5,-1.0
7.5,5.5
-1.0,-2.5
-1.5,-3.0
-2.0,-3.0
-0.5,-2.5
-0.5,-2.0
4.0,3.0
-2.0,-3.0
6.0,6.5
22.0,22.5
-0.5,-1.5
-1.5,-2.0
2.5,2.0
0.0,-1.0
1.0,0.0
-0.5,-2.0
0.0,-1.5
0.5,-2.0
0.0,-2.0
0.5,-0.5
-1.0,-2.5
-1.5,-2.0
0.0,-2.5
-1.0,0.5
-1.5,-3.0
-0.5,-1.5
3.0,1.5
-1.0,-2.5
-1.0,23.0
2.5,0.0
3.0,5.0
-1.0,-2.5
-0.5,-1.5
0.5,1.0
-0.5,-1.5
-0.5,-1.5
0.5,-0.5
1.5,0.5
1.0,0.5
-1.0,-2.0
-1.5,-2.5
1.5,0.5
-1.0,-2.0
-1.0,-2.5
-1.0,-2.0
-1.5,-2.5
-1.0,-2.5
-1.0,-2.0
2.0,1.0
-1.0,-2.5
0.0,-1.5
1.0,-0.5
-0.5,-2.0
1.5,5.0
1.0,-0.5
2.0,0.5
0.0,-1.5
-1.0,-2.0
1.0,-0.5
3.0,4.0
0.5,-0.5
0.0,-1.0
0.0,-1.5
0.0,-2.0
-1.0,-2.5
-0.5,-2.5
-1.5,-2.5
0.5,-1.0
3.5,1.5
-1.5,-2.5
2.0,1.0
1.0,-0.5
-0.5,-1.5
0.0,-2.0
-1.0,1.5
0.0,-1.0
-0.5,-2.0
-1.0,-2.5
0.0,-2.0
2.5,1.5
0.0,-2.0
-1.5,-2.5
2.5,1.0
-1.5,-2.5
0.0,-1.0
0.5,-1.5
-0.5,-1.5
14.5,12.5
7.0,10.5
0.0,-1.0
0.0,-1.5
0.5,-0.5
1.5,0.0
-1.0,-2.0
0.0,-1.5
3.0,2.0
-0.5,-1.5
1.0,-1.0
-0.5,-2.0
-1.0,-1.5
-0.5,-2.0
0.5,-1.0
-2.0,-2.5
0.0,-1.5
-1.5,-2.5
-0.5,-1.5
0.0,-2.0
0.5,-0.5
-1.0,-2.0
-1.0,-2.5
-0.5,-1.0
-0.5,-1.5
0.0,-1.5
-1.0,-2.5
1.0,-0.5
-0.5,-2.0
