PESARO,RICCIONE
0.0,-1.0
14.5,14.5
-0.5,-1.5
-0.5,1.5
-0.5,-2.5
245.0,243.5
1.0,0.0
1.5,2.0
0.0,-1.5
1.5,0.0
1.5,0.0
-1.0,-0.5
0.0,0.5
0.0,-0.5
18.0,15.5
-0.5,-1.5
1.0,0.0
-1.0,-1.0
0.0,-2.0
1.5,-0.5
0.0,0.5
6.0,3.5
1.0,1.0
-0.5,0.5
0.5,-1.5
6.0,3.5
1.0,0.5
2.5,1.0
2.0,-0.5
0.0,-1.5
1.5,1.5
4.0,2.0
-0.5,-2.5
0.0,-2.0
8.0,8.0
0.5,0.5
-0.5,-2.0
-0.5,-2.5
12.0,9.0
0.0,-0.5
-1.0,1.0
8.5,7.0
-1.0,0.5
0.0,-1.5
0.5,-2.0
6.5,5.5
-0.5,-2.5
1.0,1.0
0.0,-2.0
-1.0,-2.0
0.0,-2.0
1.5,0.0
1.5,0.0
10.5,10.0
3.0,2.5
-0.5,-0.5
-1.0,-2.0
20.5,18.5
0.5,-2.0
9.0,6.5
1.5,-1.0
-1.5,-0.5
2.5,0.0
0.0,-2.0
-1.0,-2.0
0.5,-2.0
0.0,0.5
0.0,-1.5
0.0,-0.5
-0.5,-3.0
8.0,5.0
3.5,0.5
1.5,3.5
0.5,-2.0
0.5,-2.5
-0.5,-1.5
2.0,0.5
1.5,-0.5
4.0,4.0
5.5,4.0
-1.0,-2.0
-0.5,-2.0
-0.5,-2.5
2.5,0.0
6.5,4.5
-0.5,-0.5
10.5,9.0
-0.5,-2.0
-0.5,-2.0
2.5,2.0
0.5,-1.0
35.5,33.0
-0.5,0.5
11.0,11.0
40.5,37.0
-0.5,-1.5
-0.5,-1.0
-0.5,-0.5
14.5,12.5
23.5,22.0
50.5,48.5
52.5,50.0
1.5,2.0
0.0,-2.0
0.5,-1.5
0.0,0.5
0.5,-1.5
-1.5,-2.0
-0.5,-0.5
1.5,-1.0
1.0,-1.5
0.5,-1.0
8.5,7.5
15.0,16.5
0.0,-1.5
0.5,-0.5
0.5,-2.0
0.0,-0.5
3.0,3.5
2.0,1.5
15.5,14.5
0.0,0.5
0.0,-2.5
