ARGENTA,PORTOMAGGIORE
-1.5,-2.5
-1.5,-2.0
2.0,0.0
-1.5,-2.5
-0.5,25.0
1.0,-1.0
0.5,-0.5
-1.0,-2.0
3.0,1.0
-1.5,0.0
-0.5,-0.5
-1.0,-1.5
-0.5,-2.5
5.5,3.5
0.5,-1.0
-1.0,-2.5
3.5,1.0
-2.5,-2.0
-1.5,-2.5
-0.5,-2.5
1.0,-1.0
0.5,0.0
3.5,1.0
2.5,0.0
-0.5,-1.5
1.0,-2.0
0.0,-2.0
4.0,1.5
-1.0,-1.0
-1.0,-1.5
3.5,1.0
-1.5,-1.0
1.5,-1.0
0.5,3.0
0.0,-2.0
0.5,-1.5
4.5,2.5
1.5,0.5
4.5,2.0
2.5,0.0
0.5,-1.0
3.5,1.5
0.0,-1.0
1.0,0.0
41.0,39.0
-2.5,-2.5
1.0,-1.0
-0.5,-1.5
2.5,2.0
-1.5,-0.5
0.0,-1.5
-1.0,-2.5
0.5,0.5
15.0,13.0
0.5,-0.5
10.0,9.5
2.5,0.0
-1.0,-2.0
2.0,-0.5
8.0,5.5
1.5,-1.0
3.0,1.0
1.5,0.0
-0.5,0.0
-0.5,-2.5
0.5,-1.0
4.0,9.5
-1.0,-2.0
0.5,-1.5
0.5,-1.5
3.5,1.5
-0.5,0.0
1.0,0.0
0.0,-2.0
2.0,0.5
7.5,5.0
0.5,-2.0
-1.0,-2.0
4.0,2.0
3.0,1.0
0.0,-0.5
0.0,-1.5
-1.0,-1.5
2.5,0.0
0.0,-1.5
0.0,-2.0
-0.5,-3.0
6.0,5.0
0.5,-1.5
4.0,1.0
-1.0,-1.5
-1.0,-2.0
1.0,-1.5
-0.5,-2.0
4.5,2.0
-1.0,-1.0
1.0,-1.0
-1.5,0.5
-1.0,-1.5
11.0,8.5
7.5,5.5
0.0,-2.0
2.0,0.0
-0.5,-1.5
0.0,-1.0
5.5,3.5
-1.5,-2.0
2.0,1.5
0.0,-1.5
2.5,1.0
-0.5,-2.5
0.0,-2.5
-0.5,-1.5
-0.5,-2.0
5.0,2.0
-0.5,-3.0
10.5,8.0
