CREVALCORE,S.FELICE SP
3.0,3.5
22.0,27.0
2.5,2.5
4.0,4.0
18.5,19.0
4.0,4.0
4.0,3.5
1.5,1.5
1.0,2.0
0.5,0.0
6.5,7.5
3.0,3.0
2.5,2.0
8.5,24.0
16.0,15.5
2.5,2.0
12.5,12.5
2.5,2.0
0.5,0.0
2.5,2.0
0.5,0.0
11.0,10.5
0.5,0.0
1.0,1.0
2.0,1.0
15.5,15.0
3.0,2.5
2.0,3.5
9.5,9.0
1.0,0.5
1.0,1.0
4.0,3.5
1.0,1.5
1.5,1.0
5.0,5.5
19.0,20.5
3.5,3.5
1.0,1.0
3.5,5.5
4.0,4.5
1.0,1.5
3.0,3.0
8.0,7.5
0.5,0.5
2.0,1.5
33.5,32.5
4.5,5.5
0.0,0.0
4.0,3.5
1.0,0.5
1.0,1.0
6.0,7.0
2.5,2.5
1.0,1.0
0.0,-0.5
0.5,1.0
1.0,1.0
6.5,6.0
0.0,0.0
1.5,1.5
4.0,5.5
2.5,2.0
16.5,17.0
1.0,1.0
10.5,10.5
5.0,6.0
17.5,17.5
4.0,3.5
8.5,8.0
3.0,4.0
1.5,2.5
0.5,0.0
9.0,8.5
2.0,2.0
17.5,16.5
0.0,0.0
1.0,1.5
2.5,2.5
14.0,13.5
0.5,1.0
11.5,12.0
0.5,0.0
2.0,1.5
4.0,3.5
0.0,0.0
4.0,3.5
8.5,8.0
1.0,0.5
1.0,0.5
12.5,12.5
2.0,1.5
4.0,4.5
1.0,1.0
4.0,4.0
3.5,3.5
0.5,1.5
12.5,12.0
5.0,5.5
1.5,1.0
1.5,0.5
0.0,-0.5
1.0,0.5
1.0,0.5
1.0,2.0
4.5,5.5
1.0,0.5
5.5,5.0
0.5,0.0
0.5,0.5
2.0,2.0
0.5,1.0
2.0,2.0
5.0,5.0
0.0,0.0
0.5,1.0
2.0,2.5
0.5,0.5
2.0,1.5
37.0,36.5
3.0,3.0
4.0,4.5
25.0,26.0
0.0,0.0
1.5,3.5
14.0,14.5
15.0,15.0
0.0,-0.5
1.5,2.5
4.5,5.5
19.5,19.0
2.0,3.0
16.5,16.0
2.0,2.0
1.5,1.0
3.0,2.5
0.5,0.0
26.0,33.5
0.5,1.0
0.5,0.5
1.5,1.0
5.0,5.0
0.0,0.0
1.5,1.0
2.5,2.0
0.0,0.0
