S.LAZZARO DI SAVENA,OZZANO DELL'EMILIA
4.0,4.0
5.0,5.5
3.0,3.0
3.0,5.0
3.5,4.0
5.0,5.0
4.0,5.5
2.5,2.0
2.0,2.0
2.5,3.0
10.5,11.0
22.5,23.0
4.5,4.5
3.5,4.0
1.0,2.0
3.5,4.0
3.5,3.5
4.5,5.0
4.5,5.0
2.0,2.0
2.0,1.5
4.0,4.5
3.0,5.0
14.5,15.5
1.5,2.0
3.0,2.5
8.0,7.5
3.0,3.0
2.5,3.5
3.0,2.5
1.5,1.5
3.0,3.0
1.5,1.5
5.0,6.0
4.0,4.5
6.5,8.0
2.5,4.0
5.0,6.0
2.0,2.0
4.0,4.0
4.5,6.0
2.5,2.5
8.5,8.0
2.5,3.0
20.0,20.5
4.5,5.0
2.5,3.0
3.5,4.0
2.0,1.5
4.0,4.5
2.0,1.5
4.5,4.5
2.5,3.0
3.5,3.5
9.0,10.5
7.0,7.5
3.0,4.0
2.5,2.5
1.0,1.5
6.0,7.0
2.5,3.0
41.5,42.5
4.0,4.0
2.0,2.0
3.0,3.0
3.0,3.5
3.0,3.0
2.5,2.5
6.5,7.5
2.0,2.0
4.5,5.0
