PADOVA,BOLOGNA C.LE
0.0,1.5
0.5,7.0
5.0,4.5
0.0,11.0
2.5,3.0
9.0,4.0
-1.5,3.5
0.5,0.5
6.0,4.0
5.0,6.5
0.0,-2.0
2.5,3.0
2.0,1.5
2.5,4.5
1.0,2.5
2.0,2.5
10.0,13.5
1.0,-2.5
2.5,2.5
7.0,7.5
1.0,7.5
1.0,3.0
5.0,9.0
3.5,4.0
6.5,4.0
-0.5,2.5
0.5,3.0
-0.5,1.5
0.0,0.5
0.5,2.0
27.0,23.0
-0.5,2.5
2.0,4.5
5.0,10.5
6.5,8.0
1.5,-1.0
0.5,-2.0
0.5,-1.5
1.5,23.5
-0.5,-2.5
-1.0,-2.5
-0.5,5.5
8.0,5.5
3.0,2.0
2.5,1.5
2.0,1.5
-1.0,-2.0
0.5,5.0
6.0,5.5
-0.5,1.5
2.5,1.0
3.5,3.0
1.0,7.0
-1.0,5.0
3.5,4.0
2.0,-1.0
1.5,4.0
-1.5,-4.0
0.0,3.0
-0.5,3.0
4.0,0.5
5.5,8.5
4.0,4.5
2.0,3.5
