S.BENEDETTO DEL TRONTO,PORTO S. GIORGIO FERMO
1.5,-4.0
-0.5,-4.5
21.0,19.0
-2.0,-4.0
-0.5,-4.0
0.5,-5.0
7.5,3.5
1.0,-4.0
5.0,0.5
10.0,5.0
2.0,-2.0
-1.5,-4.5
-2.0,-4.5
8.5,3.5
0.5,-2.5
-2.5,-3.5
0.5,-3.0
-2.0,-4.0
0.0,-3.0
6.0,1.5
0.5,-4.5
1.0,-4.0
-0.5,-5.0
2.0,-2.5
-1.0,-4.5
-1.5,-3.0
1.0,-3.5
5.0,2.0
-1.5,-4.5
6.0,6.0
-2.0,-3.5
2.5,-0.5
1.0,-3.0
0.0,-3.0
4.5,-0.5
-1.5,-4.5
5.0,0.5
-0.5,-5.0
6.5,3.5
1.0,-3.0
-2.5,-5.0
-0.5,-5.0
21.5,18.5
1.5,-3.5
-3.0,-5.0
19.0,14.0
-2.5,-4.5
1.5,-3.5
1.0,-3.5
13.5,10.5
-2.5,-4.0
0.0,-5.0
1.0,-4.5
3.5,-1.5
1.5,-1.5
-2.0,-3.0
3.0,-2.0
-1.5,-2.5
2.5,-0.5
8.5,6.0
-2.5,-5.0
-2.5,-4.5
-0.5,-5.0
0.0,-4.5
6.0,1.5
6.0,1.5
0.5,-4.0
1.5,-2.5
5.5,1.0
12.5,8.0
0.0,-4.5
-1.5,-3.5
5.0,0.5
1.0,-4.0
-2.5,-5.0
0.0,-3.0
-2.5,-4.5
1.5,0.5
0.0,-4.0
-2.0,-4.5
4.0,-1.0
9.5,5.0
-1.0,-4.5
3.0,-1.5
7.5,2.5
7.0,3.0
1.0,2.5
17.0,11.5
0.5,-3.0
-1.5,-4.5
5.0,1.5
4.5,0.0
14.5,9.0
13.5,8.5
9.5,5.5
14.0,10.5
1.0,-4.0
-1.5,-4.0
1.5,0.5
2.0,-4.0
7.0,1.5
45.0,41.0
6.0,1.5
-2.5,-5.0
11.0,8.5
-2.5,-4.5
24.0,22.5
5.5,1.0
-0.5,-4.0
0.0,-4.5
0.5,-4.5
12.5,9.0
-0.5,-4.5
9.0,47.0
0.5,-4.5
0.0,-3.0
0.5,-4.5
-0.5,-4.5
2.0,-2.0
-1.0,-5.5
-2.0,-4.5
3.0,-2.5
6.5,3.0
6.5,1.5
7.5,2.5
-0.5,-4.0
2.0,-1.5
2.0,-2.0
0.0,-5.0
8.5,3.0
-2.5,-2.5
-0.5,-3.5
-2.5,-4.5
0.5,-4.5
-0.5,-4.5
-3.0,-4.5
5.0,0.0
2.0,-2.0
-0.5,-4.5
-2.5,-5.0
