ALESSANDRIA,PIACENZA
2.0,-1.5
0.5,1.0
9.0,9.0
22.0,27.0
6.5,2.0
10.0,8.5
5.0,2.5
3.5,0.0
8.0,5.0
1.5,-1.0
3.0,1.0
1.0,-3.0
1.5,-3.5
3.0,8.0
14.0,8.5
4.5,13.0
4.5,1.0
3.0,-1.0
2.0,5.5
1.5,-4.5
2.0,-2.0
0.5,-0.5
7.5,10.5
3.5,-0.5
8.5,7.5
3.0,4.0
3.5,2.0
5.0,10.0
7.0,3.0
4.0,3.5
7.5,9.0
2.5,0.0
1.0,2.5
4.0,1.0
3.0,1.0
15.5,18.5
5.0,2.0
4.5,4.0
14.5,13.5
3.5,11.0
7.0,2.0
6.0,5.0
6.0,7.5
16.5,18.5
7.0,14.5
10.5,16.5
2.0,-3.5
7.5,10.0
1.0,36.0
12.0,25.0
3.0,-1.0
11.5,16.0
4.0,1.5
1.5,1.5
6.0,10.5
0.5,7.0
16.0,14.5
2.5,1.0
4.0,0.0
5.5,1.5
15.5,32.0
6.0,7.5
1.5,1.0
1.5,-1.0
0.5,-3.5
8.5,8.0
3.0,2.0
11.0,14.0
2.0,-1.0
1.0,-1.0
26.0,25.5
6.0,4.0
19.5,34.5
10.0,8.0
11.5,8.0
7.0,5.0
4.5,10.5
10.0,12.0
1.5,-2.0
3.5,1.0
3.5,1.0
7.0,9.0
13.0,13.0
10.5,12.0
21.5,20.5
3.0,2.5
4.5,11.0
2.0,7.0
1.5,-2.5
1.0,1.5
9.5,9.5
6.5,3.5
1.5,-3.5
11.0,9.5
1.5,4.0
4.0,3.5
6.5,9.0
8.0,7.0
11.0,9.5
8.5,15.5
1.0,0.5
2.0,-2.5
3.0,-2.5
11.5,12.0
10.5,14.5
5.0,19.5
2.5,1.5
6.5,8.0
7.0,4.5
4.5,-1.0
4.0,4.0
8.0,11.5
10.5,10.0
2.5,1.0
9.0,10.5
10.5,14.0
10.0,26.0
9.5,13.0
5.5,7.5
7.0,3.0
2.0,2.0
18.0,22.0
23.5,26.5
3.0,0.5
9.5,12.5
6.0,6.0
1.5,1.5
1.5,4.5
5.5,11.5
5.0,31.0
5.5,4.5
0.0,-3.0
7.0,10.0
17.0,12.0
