SALETTO,MONTAGNANA
-1.5,0.5
-0.5,0.0
-2.5,1.0
-1.5,0.0
-0.5,-0.5
2.5,2.5
5.5,4.0
0.5,0.5
-2.5,-0.5
-0.5,-0.5
-1.5,0.0
-1.5,1.0
-1.5,2.0
2.5,3.0
-1.5,1.0
-1.5,-0.5
-1.5,0.0
-0.5,-0.5
-2.0,-0.5
0.0,1.0
0.5,1.0
-2.5,-1.0
-1.0,1.0
-1.5,2.0
-2.5,0.5
-1.0,0.0
-1.5,0.0
-2.0,0.5
-2.0,0.0
-2.5,0.5
-2.5,0.5
0.0,0.0
-1.0,1.0
1.0,2.0
-1.5,2.0
-1.0,0.0
-2.0,0.5
-2.5,0.0
0.0,-0.5
-1.5,0.0
-1.0,0.0
0.0,0.0
-0.5,0.5
2.0,2.5
3.0,3.5
0.0,0.5
-2.5,0.0
-1.0,0.0
-2.0,0.0
-0.5,0.5
-2.5,0.0
-1.0,0.0
0.0,1.0
-1.5,-0.5
-1.5,-0.5
-1.5,2.0
0.0,-0.5
0.0,0.5
-2.0,0.0
-1.0,0.0
-0.5,-0.5
-3.0,1.0
-0.5,0.0
0.0,0.5
0.5,0.0
-1.5,0.0
-0.5,-1.0
-3.0,-0.5
1.0,0.5
-2.0,0.5
-0.5,1.0
-0.5,0.0
-0.5,1.0
-1.0,1.5
-1.0,0.5
-2.0,1.5
-1.0,-0.5
-2.5,1.0
-0.5,1.0
-0.5,0.0
0.0,-0.5
1.0,1.0
-2.0,-0.5
0.0,0.5
0.0,0.5
-1.5,0.0
-1.0,0.0
-2.5,0.0
-2.5,1.0
-2.0,0.0
-2.5,0.0
-0.5,1.5
-0.5,1.0
-2.0,0.0
0.0,0.5
-2.5,1.0
-1.5,-0.5
-2.0,0.0
0.0,1.0
-2.5,-0.5
1.0,0.5
-0.5,0.5
0.0,0.0
-2.0,1.0
1.0,0.5
-2.0,0.0
1.0,1.5
-2.5,0.0
0.0,0.5
0.0,1.0
-0.5,1.0
-3.0,0.5
1.0,1.0
-2.0,1.0
-1.0,0.5
-1.0,0.0
-1.5,0.0
-1.0,0.0
0.5,0.5
-0.5,0.0
-2.0,0.5
0.0,0.5
-1.0,-0.5
-2.5,1.5
-0.5,0.0
-0.5,1.0
0.0,0.0
0.0,0.5
0.0,0.0
-2.0,0.5
1.0,1.5
0.0,0.0
-2.5,1.0
-0.5,-0.5
-1.5,0.0
-1.0,0.0
-3.0,1.0
-0.5,-0.5
-1.5,1.0
-0.5,0.0
-2.5,-0.5
-2.5,0.0
-0.5,0.5
-2.5,-0.5
0.0,0.0
0.0,0.5
-1.0,-0.5
-0.5,0.5
-1.0,0.5
-2.5,-0.5
-2.5,-0.5
-2.0,0.0
0.0,0.5
-1.5,-0.5
-1.5,-0.5
-1.5,2.0
1.0,1.0
-2.5,1.5
-3.0,-0.5
-0.5,-0.5
-2.5,1.5
0.0,0.5
-1.0,0.5
4.5,3.5
-2.0,1.0
-2.0,0.5
0.5,0.0
2.0,2.0
-1.5,0.0
-1.0,0.0
0.5,0.0
-2.5,1.0
-1.5,1.0
0.0,1.0
-1.0,2.0
0.5,0.0
0.0,1.5
-1.0,1.0
-2.5,0.0
-1.0,-1.0
-1.0,-0.5
-0.5,1.0
-3.0,0.5
0.5,-0.5
-2.0,0.0
0.0,0.5
-1.0,-0.5
-2.0,2.0
-0.5,-0.5
-1.5,-0.5
-1.0,0.5
-1.5,-0.5
0.5,0.5
-2.0,4.0
1.0,1.5
-2.5,2.5
-0.5,0.5
-1.5,0.0
-1.0,0.5
0.5,0.5
0.5,1.0
-1.0,0.0
-1.5,1.5
-1.0,-0.5
2.5,1.5
-0.5,11.0
-1.5,0.0
-1.5,1.5
-0.5,-0.5
-3.0,0.0
-0.5,-0.5
1.0,3.5
0.0,0.5
3.0,1.5
-2.5,0.5
-1.0,0.0
-1.5,0.5
-1.5,3.5
41.0,40.5
-2.5,3.0
-1.0,-0.5
-1.0,0.5
0.5,1.0
-2.0,-0.5
-1.0,-0.5
-1.5,1.5
6.0,5.0
3.0,3.0
-1.5,-0.5
-1.0,-1.0
1.5,1.5
16.0,15.5
