ANCONA,PESARO
10.0,8.0
27.0,24.5
7.0,2.5
13.0,13.0
32.5,32.0
25.5,121.5
25.5,26.0
12.0,11.0
41.0,39.5
11.0,9.0
21.0,19.5
5.0,2.5
9.5,11.5
29.5,32.0
15.0,14.0
36.5,36.0
6.0,4.0
16.5,14.5
15.0,15.0
18.5,17.5
83.5,88.0
18.5,19.5
26.5,74.0
32.5,35.0
32.0,28.0
15.0,14.0
13.5,12.0
33.0,32.0
35.5,32.0
7.0,7.5
54.5,54.5
7.0,5.0
19.5,18.0
7.0,5.5
15.5,13.0
5.5,2.0
26.5,23.5
23.5,25.0
18.0,21.0
0.0,-3.0
12.5,10.5
12.5,21.5
25.0,23.0
15.0,11.0
12.5,10.5
12.5,9.5
13.5,10.0
16.5,15.0
10.5,9.5
6.5,6.0
5.5,4.0
28.0,27.5
34.0,34.5
19.0,16.5
10.0,9.5
9.5,12.5
16.5,15.5
16.0,12.5
26.0,28.5
11.5,9.0
11.0,9.5
29.5,29.5
13.0,13.5
23.0,19.0
3.5,1.0
5.5,4.5
12.5,14.0
27.0,26.0
1.5,0.5
3.5,1.0
19.0,20.0
24.0,26.0
2.0,0.5
26.0,23.0
5.5,2.5
6.5,6.0
14.5,12.0
18.5,17.0
14.0,11.5
22.0,20.0
60.5,56.5
23.0,19.0
19.0,16.0
22.5,20.5
10.0,9.5
32.5,32.5
13.0,12.0
13.0,11.5
21.0,20.5
9.5,8.5
58.0,57.0
11.0,14.5
10.0,9.5
9.5,11.5
5.5,5.0
5.5,1.5
21.5,22.0
34.5,30.5
19.5,17.0
32.0,29.0
6.0,4.5
4.5,7.5
18.5,14.0
20.5,17.5
133.0,132.0
11.0,10.5
22.0,19.5
24.0,27.5
44.0,47.0
3.5,1.0
28.0,25.0
25.5,26.5
7.5,7.5
10.0,10.0
7.0,7.5
24.5,23.5
29.0,27.5
13.0,10.5
16.5,16.5
17.5,19.5
42.0,41.5
30.5,30.5
15.0,10.5
16.5,14.0
53.0,71.0
9.5,9.0
12.0,10.5
18.0,15.5
7.0,3.0
14.5,12.0
42.0,40.5
21.5,21.5
23.5,25.5
16.5,14.0
7.5,9.5
