IMOLA,FAENZA
-1.0,-3.0
-1.5,4.0
0.0,-4.0
0.0,-2.0
0.0,3.5
0.0,-1.5
3.0,-0.5
0.5,1.5
1.5,8.5
-0.5,-5.5
-0.5,4.0
-1.0,-6.0
-1.5,-3.5
-1.0,-4.5
-1.5,-5.0
1.5,1.5
-1.0,4.0
-1.5,-2.5
0.0,0.5
0.0,0.0
-1.0,-6.5
4.0,0.5
-1.0,1.5
-1.0,-6.5
7.5,6.0
2.5,4.5
-0.5,0.5
5.0,5.0
-1.0,-1.5
3.5,0.5
0.5,1.5
-0.5,-4.0
-0.5,-2.5
1.5,-3.5
10.5,5.0
1.5,2.5
1.5,4.0
31.5,28.5
3.5,1.0
0.0,-5.0
5.0,-0.5
4.0,4.0
-1.5,-4.5
-1.0,-3.5
-0.5,2.0
-1.0,-2.5
-1.5,-5.0
-1.0,-1.5
1.0,0.0
0.5,-4.0
-1.0,-6.0
1.0,-3.0
1.0,-3.0
-1.0,13.0
6.5,0.5
0.0,-5.0
1.5,-5.5
-1.5,-2.5
33.5,27.5
0.5,-5.0
-0.5,-5.5
1.0,-0.5
2.5,0.0
-0.5,1.0
1.5,-3.5
0.5,-4.0
1.5,6.5
0.0,-1.5
-1.0,-1.5
2.5,5.5
3.0,0.5
16.0,17.0
-1.5,-1.5
-0.5,3.0
0.0,-3.0
-0.5,4.5
5.0,1.0
2.0,-1.0
2.5,-2.0
0.0,-5.5
2.0,-4.0
0.0,-2.5
0.0,0.0
4.0,1.5
-2.0,-6.5
5.0,0.0
-0.5,3.0
2.5,8.5
1.0,-3.0
0.0,-5.5
1.0,4.0
