GRIZZANA,SAN BENEDETTO SAMBRO-CAST.PEPOLI
1.5,0.0
1.0,1.0
-0.5,-1.5
0.5,-1.0
-0.5,-1.0
1.5,1.5
-1.5,-2.0
0.0,-0.5
3.5,3.0
-1.5,-1.5
1.5,0.0
2.0,1.0
0.0,-1.0
4.0,4.0
1.0,0.5
-0.5,-1.0
0.0,-1.0
0.0,0.0
-1.5,-0.5
-1.0,-1.0
0.0,-1.0
0.5,0.0
3.0,3.0
16.5,16.0
1.5,1.5
0.5,0.0
7.5,8.5
3.0,1.5
1.0,1.0
1.0,1.5
2.5,2.0
4.5,5.0
0.5,0.0
0.0,-0.5
0.0,-1.0
0.5,1.0
2.0,1.0
-1.0,-1.5
2.5,2.0
-1.0,-1.0
-2.5,-1.0
3.0,4.5
-0.5,-0.5
-0.5,-1.0
1.5,2.0
-1.0,2.0
-1.0,-0.5
-1.0,-0.5
1.5,2.0
-1.0,-0.5
-1.0,-0.5
-0.5,0.0
0.0,0.5
0.0,1.0
0.5,0.0
3.0,1.5
3.5,3.5
-1.0,-1.0
-1.5,-1.5
-0.5,-0.5
0.5,0.5
-1.0,-1.5
0.5,0.5
-1.0,-1.5
3.0,3.5
-1.0,-1.0
0.5,-1.0
0.0,-1.0
1.0,0.5
-0.5,-1.0
-0.5,-0.5
1.0,-1.0
4.0,4.0
0.0,-1.0
1.5,1.0
0.0,0.0
-1.5,0.0
-1.0,-1.5
0.0,-1.0
2.5,3.0
-0.5,-1.0
2.5,1.5
-1.0,-1.0
-1.5,0.0
0.0,-0.5
1.0,1.0
12.5,12.0
1.5,2.0
0.0,0.0
-0.5,1.0
-0.5,-0.5
-0.5,-0.5
-0.5,-1.5
3.0,1.5
-0.5,-0.5
-1.5,-2.0
0.5,-1.0
0.0,-1.0
0.5,0.5
-1.5,-1.5
-1.0,-1.0
0.0,0.0
2.5,3.5
-0.5,-0.5
1.5,1.0
-1.0,-1.0
1.0,1.0
0.0,-1.0
1.5,0.5
-1.0,-2.0
1.5,2.0
-1.5,-1.5
3.0,3.5
-0.5,-1.0
2.0,2.5
-1.0,-0.5
-1.0,-1.0
5.0,4.0
0.5,0.5
-0.5,-1.0
0.0,-0.5
-1.0,-1.0
0.0,0.5
-1.5,-0.5
0.0,0.0
87.0,87.0
2.5,3.0
