S.BIAGIO,ARGENTA
1.0,-1.5
1.0,-1.5
4.5,2.0
0.5,-1.5
2.0,-0.5
3.5,1.0
2.5,0.5
1.0,-1.0
4.0,3.0
0.5,-1.5
1.5,-0.5
1.5,-1.0
2.0,-0.5
5.5,5.5
2.5,0.5
1.0,-1.0
5.5,3.5
0.5,-2.5
1.0,-1.5
2.0,-0.5
3.5,1.0
2.5,0.5
6.0,3.5
5.0,2.5
1.5,-0.5
3.0,1.0
2.5,0.0
6.0,4.0
1.5,-1.0
1.0,-1.0
6.0,3.5
1.0,-1.5
3.5,1.5
1.5,0.5
2.0,0.0
3.0,0.5
6.5,4.5
3.5,1.5
6.5,4.5
5.0,2.5
3.0,0.5
6.0,3.5
2.5,0.0
3.5,1.0
42.0,41.0
-0.5,-2.5
1.5,1.0
1.5,-0.5
4.5,2.5
0.5,-1.5
2.0,0.0
1.0,-1.0
3.0,0.5
17.5,15.0
2.0,0.5
12.0,10.0
4.5,2.5
1.0,-1.0
4.0,2.0
10.5,8.0
3.5,1.5
5.5,3.0
3.5,1.5
1.0,-0.5
1.5,-0.5
2.0,0.5
4.0,4.0
1.5,-1.0
3.0,0.5
2.5,0.5
6.0,3.5
0.5,-0.5
3.5,1.0
3.0,0.0
4.5,2.0
9.5,7.5
3.0,0.5
1.0,-1.0
6.5,4.0
5.0,3.0
2.0,0.0
2.0,0.0
1.5,-1.0
3.0,2.5
2.0,0.0
2.5,0.0
1.5,-0.5
7.5,6.0
3.0,0.5
6.5,4.0
1.5,-1.0
1.0,-1.0
3.0,1.0
1.5,-0.5
7.0,4.5
1.0,-1.0
3.0,1.0
0.5,-1.5
1.0,-1.0
12.5,11.0
8.0,7.5
2.0,0.0
2.5,2.0
1.0,-0.5
1.5,0.0
8.0,5.5
0.5,-1.5
4.0,2.0
2.0,0.0
4.5,2.5
1.5,-0.5
2.5,0.0
1.0,-0.5
2.0,-0.5
7.5,5.0
1.5,-0.5
13.0,10.5
