SUZZARA,PALIDANO
1.0,2.0
0.0,1.5
0.5,8.5
0.0,2.0
1.0,2.0
-0.5,2.0
3.5,4.0
0.5,5.5
2.5,3.0
1.0,2.0
1.0,2.0
1.0,3.5
1.5,3.0
0.0,4.5
2.5,4.0
1.5,2.5
-0.5,2.0
5.5,4.5
0.5,1.5
0.5,1.0
0.0,2.0
-0.5,1.5
1.0,19.0
1.5,1.5
0.5,5.0
0.0,2.0
0.5,2.0
5.0,4.5
0.0,3.5
0.5,1.5
1.0,2.5
1.5,2.5
10.5,9.0
-0.5,1.5
0.0,3.0
3.5,2.5
-0.5,2.0
3.5,3.5
-1.0,4.5
2.5,2.5
0.0,1.5
1.0,4.5
1.0,0.5
-1.0,4.5
3.0,4.0
0.0,1.5
1.0,4.0
6.0,6.0
1.0,2.5
9.0,6.5
1.0,2.5
-0.5,1.5
0.5,4.0
0.5,3.0
-0.5,2.5
-0.5,1.0
1.5,2.5
1.5,3.5
-1.5,4.5
1.5,4.5
0.0,2.0
3.5,6.0
1.5,9.5
1.5,3.0
0.5,4.5
4.5,4.5
5.0,3.5
-0.5,3.5
1.0,7.0
27.5,25.0
9.0,16.0
21.5,19.0
0.5,2.0
0.5,3.0
2.0,2.0
2.0,2.5
6.5,5.5
1.5,1.5
9.0,8.5
1.0,3.0
2.5,15.5
2.5,4.5
1.0,2.5
-0.5,0.5
1.5,4.0
0.0,4.0
2.0,3.0
0.0,1.5
0.0,2.5
2.5,9.0
3.0,2.5
2.5,6.0
13.0,10.5
1.5,2.0
0.5,2.5
-0.5,2.0
-1.0,2.5
-0.5,4.5
0.5,2.0
2.0,2.5
3.0,8.0
-1.0,2.0
0.0,2.0
-0.5,2.0
5.0,3.0
3.0,7.5
1.5,2.5
-1.0,2.0
0.0,3.0
2.5,8.0
19.5,16.5
0.5,1.5
27.5,28.0
2.0,2.5
2.0,4.5
1.5,2.5
6.5,6.5
7.0,4.5
9.0,7.5
1.5,1.5
0.0,5.0
28.0,26.5
0.0,2.0
0.0,1.0
0.0,2.5
5.5,7.0
3.5,3.5
1.5,2.5
-0.5,2.0
3.0,2.0
1.0,7.0
7.0,7.0
0.5,2.0
-0.5,1.5
-0.5,1.5
1.0,3.5
-2.0,1.0
0.0,1.5
0.5,3.0
1.5,6.5
5.0,5.0
-0.5,6.0
6.5,9.0
1.0,2.0
0.0,9.0
7.5,7.5
0.5,4.0
-0.5,9.5
9.5,7.5
13.5,11.0
7.5,11.0
-1.0,8.0
11.5,10.5
4.5,3.0
1.5,2.0
85.5,86.0
-0.5,4.0
1.0,2.5
1.0,3.5
0.5,1.5
1.5,6.0
-0.5,1.5
0.0,2.5
0.5,2.0
-1.0,3.0
1.5,2.0
5.0,5.0
-0.5,3.0
6.5,4.5
1.0,4.5
-0.5,2.0
0.0,2.5
1.5,2.5
0.5,3.0
-0.5,2.0
0.0,4.5
5.0,5.0
1.5,2.5
1.5,5.0
0.0,1.5
2.0,2.0
-0.5,4.5
-0.5,1.5
1.0,3.0
-0.5,2.0
0.5,7.0
1.5,4.5
-0.5,1.5
1.0,10.5
1.5,2.0
1.0,2.0
1.5,5.0
2.5,3.0
3.0,3.5
0.0,1.0
-0.5,2.0
2.0,3.0
1.0,1.5
-1.0,2.0
0.0,2.5
0.5,2.5
3.0,3.5
2.0,3.0
0.0,2.5
0.0,2.0
-0.5,2.0
25.0,23.0
8.5,12.0
1.5,10.0
2.5,6.5
7.5,6.0
0.5,3.0
9.5,12.0
21.5,54.5
5.0,4.0
4.0,4.0
1.0,2.0
-1.5,3.5
13.0,10.5
5.5,6.5
4.5,4.5
1.5,2.0
2.5,2.5
5.0,4.0
-0.5,4.0
3.5,4.0
3.0,2.5
0.5,6.0
3.0,27.0
3.5,6.5
7.0,5.5
-0.5,2.0
0.0,3.0
4.5,6.5
3.5,5.0
2.0,2.0
0.5,3.0
0.5,2.5
2.5,4.5
5.0,6.0
2.0,3.5
6.0,6.5
0.5,1.5
4.0,6.5
-0.5,2.0
0.0,2.5
3.5,7.5
0.0,3.0
-0.5,2.0
1.0,8.5
2.5,3.5
-1.0,2.0
1.5,3.0
0.5,1.5
1.5,4.0
-1.0,2.5
0.0,3.5
1.0,3.0
-0.5,1.5
0.5,4.5
0.5,2.5
24.5,21.5
4.5,4.0
4.0,11.0
10.0,23.0
1.5,2.0
2.0,4.5
5.5,7.0
8.0,5.5
-1.0,2.5
-0.5,2.5
2.5,2.5
7.5,8.5
4.5,5.0
0.0,5.5
7.5,11.0
9.5,7.0
0.5,3.5
-0.5,2.0
0.0,2.5
-0.5,3.5
2.0,2.0
1.5,2.5
52.5,50.0
0.0,3.0
0.5,2.0
-0.5,3.0
0.0,5.5
1.0,2.0
0.5,2.0
0.0,3.0
4.5,5.5
6.0,9.0
15.0,13.0
7.5,7.5
4.5,6.0
5.0,4.0
0.0,3.5
2.0,1.5
3.5,7.0
0.5,6.5
1.5,2.5
2.0,3.5
11.0,9.5
0.0,2.0
4.0,9.5
7.0,9.5
5.0,5.5
6.5,8.5
-1.5,1.5
1.5,3.0
2.0,4.0
58.5,56.5
-1.0,0.0
0.0,1.5
-0.5,2.0
0.5,2.0
15.5,18.0
0.5,3.0
-1.0,1.0
0.0,3.5
0.0,2.0
15.0,13.0
0.0,2.0
7.5,7.5
12.0,9.5
0.0,1.5
-1.0,2.5
5.0,8.0
0.5,2.0
0.0,5.0
5.0,6.5
2.0,2.0
1.0,1.5
9.0,10.5
2.5,2.5
1.5,3.5
0.5,2.5
0.5,3.0
-1.0,1.5
9.0,7.5
-0.5,1.5
-0.5,1.0
1.0,1.5
4.0,4.5
0.0,2.0
3.5,6.5
7.0,6.5
3.0,5.0
10.0,50.0
87.0,86.5
0.0,4.0
0.0,2.5
10.5,8.5
6.5,8.5
22.0,20.0
0.0,3.0
15.0,18.5
0.5,2.0
1.5,2.5
3.0,3.0
0.0,2.5
2.5,3.5
1.0,2.5
0.5,5.0
4.5,4.5
-1.0,2.0
5.0,5.0
3.5,3.5
4.5,7.0
4.0,4.0
-0.5,3.0
5.5,6.5
-0.5,1.5
3.5,4.0
4.5,4.0
1.5,3.5
-0.5,4.5
-0.5,5.0
2.0,2.5
1.5,2.0
-0.5,2.0
0.5,2.0
0.0,2.0
1.5,3.0
-1.0,1.5
-0.5,0.5
1.5,4.0
1.0,2.5
-0.5,1.5
25.0,23.5
1.0,6.0
5.5,7.0
-1.0,1.5
5.0,6.5
0.5,2.0
3.5,3.0
11.0,10.0
0.5,2.0
0.0,2.0
2.0,3.0
0.0,2.0
6.0,5.0
0.0,2.5
3.5,3.0
3.5,7.0
1.0,2.0
1.5,2.0
3.0,1.0
0.5,0.5
4.0,3.5
-0.5,2.5
1.0,2.0
0.0,2.0
14.0,9.0
8.0,9.5
11.5,9.0
5.5,6.0
-0.5,2.0
1.5,3.5
0.0,1.5
1.0,3.0
4.5,6.0
8.0,6.0
1.5,2.5
1.5,4.0
2.5,5.0
1.5,4.5
2.5,4.0
-0.5,2.0
6.5,5.0
1.0,6.0
0.5,2.5
-0.5,3.0
0.5,4.0
1.5,2.0
