SAN SEVERO,FOGGIA
13.0,9.0
30.5,38.0
1.0,-1.0
11.5,8.0
27.5,75.0
14.0,13.5
41.0,38.5
9.0,8.0
37.5,34.5
22.5,20.0
5.5,2.0
10.0,7.0
8.5,5.5
37.5,42.5
9.5,6.0
120.5,123.5
15.0,12.0
14.5,23.0
13.0,10.5
0.5,-1.5
13.0,9.5
14.0,16.0
20.0,17.0
10.5,7.0
24.5,23.0
7.5,4.0
8.5,5.0
13.0,12.0
10.5,7.0
57.0,55.0
14.0,17.0
1.0,2.0
22.0,26.0
3.5,1.0
9.0,5.5
1.5,-1.0
11.5,12.0
2.0,0.0
2.5,0.0
1.0,-1.5
17.5,15.5
8.0,5.5
2.5,0.0
24.5,22.0
8.0,7.0
18.5,23.5
16.5,13.5
26.5,23.0
4.0,0.5
6.5,4.0
14.5,11.5
1.0,-1.0
5.0,4.5
18.0,14.0
1.5,-2.0
19.5,16.0
15.5,14.5
2.5,0.0
24.0,21.0
16.0,15.0
36.5,34.5
6.0,3.5
18.5,23.0
24.0,21.0
2.0,-1.5
2.5,0.0
14.0,17.5
35.0,31.0
1.5,0.0
45.0,42.5
7.5,5.0
28.0,32.0
9.0,5.0
58.5,59.0
11.0,8.0
10.0,9.0
44.0,49.0
5.5,2.5
15.5,13.5
3.0,1.0
3.5,2.5
12.5,9.5
8.0,4.5
8.0,5.5
11.0,7.0
6.5,2.5
4.5,2.0
7.0,15.5
6.5,6.0
2.5,-0.5
2.5,1.5
19.5,18.5
2.0,-1.0
14.5,11.5
29.0,25.5
4.0,0.5
5.0,3.5
3.0,-0.5
7.0,4.5
12.5,17.5
34.5,31.0
11.5,11.0
10.5,7.5
8.0,5.0
36.5,42.5
2.0,-0.5
7.0,3.5
6.5,6.0
13.0,10.5
7.5,6.0
8.0,6.5
6.0,3.0
5.5,7.5
22.0,18.5
26.0,27.0
32.5,30.0
2.5,-1.5
12.0,10.0
12.0,11.5
9.0,6.0
5.5,5.0
12.5,9.5
14.5,15.0
19.5,17.0
3.0,0.0
