GIULIANOVA,S.BENEDETTO DEL TRONTO
4.5,1.5
2.0,-0.5
21.0,21.0
-1.5,-2.0
1.5,-0.5
4.0,0.5
9.0,7.5
2.0,1.0
6.0,5.0
11.5,10.0
4.0,2.0
-2.5,-1.5
-2.5,-2.0
10.5,8.5
0.5,0.5
-2.5,-2.5
3.0,0.5
-0.5,-2.0
1.5,0.0
7.5,6.0
3.0,0.5
3.0,1.0
1.5,-0.5
4.0,2.0
0.0,-1.0
-1.0,-1.5
3.0,1.0
7.0,5.0
-3.0,-1.5
7.5,6.0
-2.0,-2.0
4.0,2.5
2.0,1.0
1.0,0.0
6.0,4.5
0.0,-1.5
6.5,5.0
2.0,-0.5
8.0,6.5
2.5,1.0
-2.5,-2.5
1.5,-0.5
19.5,21.5
4.5,1.5
-1.5,-3.0
21.0,19.0
-2.0,-2.5
3.5,1.5
2.5,1.0
14.5,13.5
-2.5,-2.5
3.5,0.0
4.0,1.0
7.0,3.5
2.5,1.5
-1.5,-2.0
5.0,3.0
-1.0,-1.5
4.0,2.5
9.5,8.5
-3.5,-2.5
-1.0,-2.5
1.0,-0.5
2.0,0.0
8.5,6.0
1.5,6.0
2.5,0.5
2.5,1.5
8.0,5.5
15.5,12.5
2.0,0.0
-1.5,-1.5
6.0,5.0
3.5,1.0
-0.5,-2.5
1.5,0.0
-2.5,-2.5
-1.5,1.5
2.0,0.0
-0.5,-2.0
6.0,4.0
12.0,9.5
0.0,-1.0
3.0,3.0
9.5,7.5
9.5,7.0
3.0,1.0
17.0,17.0
1.5,0.5
-0.5,-1.5
6.5,5.0
7.0,4.5
8.5,14.5
16.0,13.5
6.5,9.5
16.0,14.0
2.0,1.0
-2.0,-1.5
2.5,1.5
5.0,2.0
9.5,7.0
47.0,45.0
8.5,6.0
-2.0,-2.5
13.0,11.0
-1.5,-2.5
22.0,24.0
7.0,5.5
1.5,-0.5
2.0,0.0
2.5,0.5
14.5,12.5
1.5,-0.5
11.5,9.0
2.5,0.5
1.5,0.0
2.0,0.5
1.0,-0.5
3.0,2.0
2.5,-1.0
-2.5,-2.0
-0.5,3.0
8.5,6.5
7.5,6.5
10.0,7.5
-0.5,-0.5
4.0,2.0
0.0,2.0
2.0,0.0
11.0,8.5
-3.5,-2.5
2.0,-0.5
-1.0,-2.5
2.0,0.5
2.0,-0.5
-2.0,-3.0
6.0,5.0
4.0,2.0
2.5,-0.5
-2.0,-2.5
