ROMA TERMINI,FIUMICINO AEROPORTO
4.0,-1.5
22.0,14.5
11.0,7.0
0.0,0.0
27.0,30.5
18.0,17.0
33.0,26.5
8.0,-3.5
3.0,-1.0
8.0,-1.5
2.0,-0.5
14.0,5.0
2.0,-3.0
14.0,11.5
12.0,13.5
14.0,12.5
15.0,7.5
10.0,6.5
7.0,1.0
15.0,11.0
7.0,-2.5
25.0,20.0
6.0,-0.5
0.0,1.0
10.0,4.0
1.0,-3.0
8.0,-1.0
10.0,6.0
11.0,4.0
25.0,26.0
9.0,1.5
7.0,0.5
8.0,4.5
15.0,11.0
5.0,-2.0
7.0,0.0
3.0,-0.5
1.0,0.0
4.0,-2.5
7.0,2.0
14.0,11.0
8.0,0.5
6.0,1.0
30.0,27.5
14.0,8.5
14.0,15.0
12.0,6.0
10.0,4.0
2.0,-1.5
21.0,15.0
6.0,5.5
10.0,3.5
44.0,41.5
10.0,1.0
6.0,-0.5
4.0,-3.0
12.0,7.0
15.0,13.0
3.0,-1.0
3.0,2.5
3.0,-0.5
15.0,10.5
16.0,9.0
20.0,21.5
12.0,1.5
8.0,-1.5
6.0,-1.0
3.0,-2.0
5.0,-3.0
6.0,0.5
2.0,1.0
10.0,1.0
7.0,-1.5
50.0,42.5
4.0,-0.5
3.0,-5.5
19.0,10.0
2.0,3.0
8.0,1.0
1.0,-3.0
18.0,14.0
7.0,-2.5
31.0,28.5
3.0,-0.5
9.0,-0.5
14.0,12.5
9.0,1.0
3.0,-1.0
0.0,-1.0
11.0,3.5
28.0,28.0
14.0,13.0
4.0,-0.5
7.0,-1.0
7.0,0.0
12.0,0.5
9.0,2.0
7.0,-1.5
0.0,3.5
11.0,12.5
3.0,-0.5
13.0,9.0
15.0,8.5
6.0,1.0
5.0,-2.0
6.0,3.5
3.0,2.0
14.0,12.0
7.0,0.0
8.0,5.0
10.0,8.5
14.0,14.0
29.0,29.5
7.0,0.0
2.0,1.5
21.0,9.5
12.0,12.5
5.0,-1.5
15.0,15.0
10.0,5.5
5.0,0.5
17.0,16.5
20.0,39.0
18.0,17.0
10.0,2.0
24.0,32.5
1.0,-1.5
12.0,8.5
11.0,1.5
1.0,-2.0
-0.5,-0.5
11.0,5.5
4.0,-2.0
9.0,0.0
11.0,3.5
8.0,0.0
11.0,1.0
6.0,1.5
19.0,14.5
