TERNI,ROMA TERMINI
2.5,5.0
4.5,7.0
1.0,1.0
4.0,8.0
1.5,3.0
6.0,12.0
4.0,13.0
8.0,17.0
10.5,14.0
18.0,25.0
10.0,12.0
-0.5,4.0
10.5,21.0
-0.5,11.0
11.5,15.0
11.0,15.0
8.0,9.0
6.0,16.0
4.0,10.0
4.5,11.0
12.5,15.0
37.0,55.0
-0.5,0.0
2.5,10.0
30.5,216.0
12.0,24.0
6.0,13.0
14.5,30.0
4.0,19.0
6.5,17.0
4.5,12.0
7.5,9.0
9.0,12.0
1.5,7.0
21.0,28.0
8.5,13.0
111.5,15.0
7.0,11.0
-1.5,12.0
3.5,11.0
1.5,4.0
5.5,9.0
0.0,13.0
18.5,22.0
3.5,42.0
0.5,14.0
16.0,29.0
4.5,11.0
5.5,13.0
7.0,11.0
0.0,3.0
3.0,14.0
8.0,14.0
8.5,13.0
7.0,13.0
6.5,12.0
5.5,10.0
10.0,16.0
5.0,13.0
10.0,14.0
0.5,0.0
8.5,18.0
-1.5,2.0
6.0,11.0
4.0,7.0
0.5,2.0
6.0,12.0
2.0,5.0
8.0,13.0
26.0,46.0
8.5,11.0
2.0,7.0
-0.5,13.0
6.5,9.0
6.5,20.0
13.5,19.0
16.5,22.0
6.0,7.0
10.5,14.0
18.5,23.0
-0.5,-1.0
14.0,18.0
5.0,8.0
-2.5,2.0
10.5,12.0
10.5,16.0
1.0,8.0
8.5,20.0
93.0,99.0
22.0,30.0
4.0,11.0
2.5,7.0
4.0,6.0
2.5,7.0
6.0,26.0
7.5,10.0
2.0,6.0
8.5,14.0
10.5,27.0
2.5,8.0
1.5,15.0
10.0,13.0
2.0,2.0
5.0,14.0
4.5,10.0
9.0,21.0
17.0,28.0
9.0,14.0
4.5,7.0
12.5,117.0
4.5,8.0
2.5,7.0
9.0,13.0
11.0,24.0
7.0,13.0
1.0,14.0
0.5,6.0
4.0,25.0
2.5,10.0
2.5,3.0
22.0,31.0
15.0,27.0
4.5,13.0
18.5,20.0
8.5,13.0
62.0,67.0
8.0,11.0
6.0,8.0
10.5,12.0
4.5,10.0
-0.5,7.0
6.5,9.0
1.0,6.0
17.0,19.0
49.0,74.0
3.0,8.0
2.5,6.0
0.0,2.0
16.0,23.0
9.0,10.0
15.5,17.0
-0.5,2.0
13.0,17.0
6.0,13.0
2.5,5.0
2.0,7.0
17.5,31.0
