CERVIA-MILANO MARITTIMA,CESENATICO
0.5,-3.0
3.0,0.0
2.5,0.0
1.0,-1.5
4.0,1.0
2.0,-1.0
3.0,0.5
1.0,-1.5
3.0,0.5
-0.5,-2.5
0.0,-3.0
1.0,-2.0
-0.5,-3.0
0.5,-2.0
33.0,30.5
33.0,32.0
2.5,-0.5
1.0,-1.0
1.5,-1.0
11.0,8.0
1.0,-2.0
5.5,3.0
-0.5,-3.0
2.5,0.0
0.0,-1.0
1.5,-1.0
4.0,0.5
0.0,-3.0
1.0,-2.0
-0.5,-3.0
0.0,-2.0
2.0,-1.5
0.5,-2.5
59.5,56.5
0.0,-1.0
1.5,-0.5
1.0,-1.5
0.5,-2.0
10.0,6.5
0.5,-2.0
0.0,-3.0
4.5,1.5
0.0,-3.0
12.0,8.5
1.5,-1.5
-0.5,-3.5
0.5,-2.0
0.5,-2.0
3.0,0.5
3.0,-1.0
2.0,-1.0
52.0,49.0
1.0,-2.0
0.5,-3.0
0.5,-2.0
3.5,0.0
0.5,-2.5
1.0,-1.5
1.5,-1.5
0.0,-2.5
0.5,-1.0
2.0,-0.5
3.5,0.5
0.0,-3.0
-0.5,-2.5
1.0,-2.0
0.5,-2.5
-0.5,-3.0
0.0,-2.5
0.0,-3.0
0.5,-2.5
1.5,-1.5
1.0,-2.0
1.0,-1.5
0.5,-2.0
0.5,-2.0
2.5,-0.5
25.5,22.5
0.5,-2.5
2.5,0.0
0.5,-2.5
2.0,0.0
0.5,-2.0
2.5,0.0
5.5,2.5
1.5,-1.5
1.0,-2.0
0.5,-2.5
0.5,-2.0
0.5,-2.5
0.0,-2.5
0.5,-2.5
0.5,-2.5
0.0,-2.5
1.0,-1.5
14.0,12.0
1.0,-2.0
2.0,-1.0
-1.0,-3.5
1.5,-1.0
0.0,-3.5
0.0,-2.5
0.0,-2.0
64.5,61.0
0.5,-2.0
0.0,-3.5
2.5,2.5
-0.5,-3.0
0.0,-3.0
1.0,-2.0
0.5,-2.5
0.5,-2.0
0.5,-2.0
0.0,-2.5
0.5,-3.0
2.0,-1.0
0.0,-3.0
0.5,-2.0
0.5,-2.5
1.5,-1.5
1.0,-2.0
1.0,-2.5
2.5,-0.5
1.5,-1.0
1.5,-1.5
0.5,-2.0
0.5,-2.5
0.0,-3.5
8.5,5.5
1.5,-1.0
14.0,11.0
0.5,-2.5
5.5,2.5
1.0,-1.0
1.0,-1.5
3.5,0.5
6.5,3.0
4.0,1.0
2.0,1.0
1.0,-1.5
0.0,-2.5
