GATTEO A MARE,BELLARIA
3.0,1.5
2.0,0.5
0.5,-0.5
1.0,0.5
1.0,0.0
0.5,-0.5
1.0,0.5
8.0,6.5
2.5,2.0
0.5,-0.5
1.0,0.0
1.0,0.0
1.0,0.0
7.5,7.0
31.0,30.0
32.0,31.0
11.0,9.5
4.5,4.0
8.0,7.5
7.0,5.5
1.0,0.0
11.5,11.0
3.5,2.0
20.0,20.5
2.0,1.0
7.0,6.0
1.5,0.0
1.5,0.5
0.5,-0.5
3.0,1.5
5.0,4.0
2.5,1.5
2.5,1.0
1.0,0.0
3.5,3.0
0.5,0.0
6.0,4.5
1.0,0.5
1.0,0.0
2.0,1.5
1.0,0.0
9.5,8.5
1.0,0.0
4.0,2.5
5.0,3.5
6.0,4.5
0.5,-0.5
0.5,-0.5
0.5,-0.5
60.0,59.0
1.5,1.0
1.0,0.0
1.5,1.0
3.0,2.0
1.0,0.0
1.0,0.0
1.5,1.5
4.0,3.0
1.5,0.5
1.5,1.5
1.5,0.5
10.5,9.0
20.5,19.5
1.0,0.5
7.5,6.0
1.0,0.0
1.0,0.0
4.5,3.5
0.5,-0.5
1.5,0.5
4.5,4.0
6.0,4.5
4.0,3.5
0.5,0.0
21.5,20.5
1.0,0.5
1.5,1.0
1.0,0.0
3.0,2.5
3.5,2.5
5.0,4.0
4.5,3.5
1.0,1.0
5.0,4.5
0.5,-0.5
4.0,3.0
3.5,2.5
4.5,3.0
4.5,3.5
5.0,3.5
4.5,3.0
0.5,-0.5
13.0,12.5
1.0,-0.5
1.5,0.5
3.5,2.0
3.0,2.0
3.5,2.0
5.0,3.5
60.5,59.5
2.5,1.5
1.5,0.0
2.5,1.0
1.0,0.5
5.0,3.5
1.0,0.0
8.5,7.5
4.0,2.5
3.5,2.5
1.0,-0.5
2.5,1.5
8.0,6.5
1.0,0.0
1.0,0.0
1.0,0.5
4.0,2.5
1.0,1.0
4.5,3.5
1.5,0.5
6.0,5.5
0.5,0.0
1.5,1.0
0.5,0.0
6.5,5.5
0.5,-0.5
20.0,19.0
1.0,0.0
9.0,8.0
1.5,0.5
4.5,3.0
1.0,0.0
4.5,4.0
8.0,7.0
2.5,2.0
1.5,1.0
6.5,4.5
