FIRENZE RIFREDI,PRATO CENTRALE
5.0,2.5
19.0,14.5
44.0,42.5
11.0,17.5
14.0,10.5
5.0,3.0
19.0,22.0
5.0,4.5
4.5,1.0
22.5,24.0
-8.5,-3.0
16.5,13.0
1.5,3.0
51.0,48.0
19.5,18.0
-2.5,0.0
6.0,3.0
3.5,2.5
12.0,26.5
17.5,15.5
46.0,44.0
141.5,137.5
4.0,2.0
52.0,49.5
61.0,61.0
1.5,0.5
0.0,1.0
11.5,10.5
28.0,25.5
13.0,54.5
5.0,3.5
3.5,1.0
6.0,3.5
25.5,23.0
46.5,43.5
36.5,36.0
8.0,7.0
16.5,14.5
11.0,10.5
-1.0,-3.0
16.5,13.0
7.0,7.0
15.5,14.0
33.0,29.5
4.5,1.0
4.0,1.5
7.5,5.5
26.0,25.5
2.5,0.5
46.0,46.5
2.5,0.5
5.5,4.5
4.0,4.5
21.5,22.5
10.0,8.5
47.5,45.5
3.5,2.5
-1.5,0.5
1.0,4.0
-1.0,-2.0
42.5,40.5
14.0,11.5
14.0,11.5
2.5,0.5
12.5,10.0
58.0,56.5
1.5,2.0
4.0,2.5
-2.0,-2.5
8.0,6.5
18.0,15.5
2.0,0.0
3.0,0.5
23.5,22.0
4.5,7.0
21.5,17.5
9.0,9.0
39.0,37.0
25.5,25.0
49.0,46.0
0.5,-1.0
12.0,8.5
6.0,7.0
13.5,13.5
2.0,0.5
-9.0,-1.5
8.0,6.0
7.5,6.5
5.5,5.0
17.5,16.0
56.5,55.0
6.0,5.5
14.5,12.5
-0.5,-2.0
43.5,43.0
14.5,11.5
14.5,11.0
3.5,1.0
35.5,32.0
13.0,10.5
2.0,0.0
5.0,1.0
21.5,22.5
-2.5,4.0
-3.0,-2.5
19.5,16.0
18.0,15.0
15.5,12.0
3.0,5.0
6.5,7.0
11.5,10.0
8.0,5.0
-1.0,-0.5
0.5,-3.0
3.5,0.5
21.0,24.5
6.5,6.0
35.5,32.0
21.0,19.0
17.5,15.5
5.0,6.0
21.0,18.0
-5.5,-2.5
19.0,18.5
52.5,49.0
2.5,3.0
