RONCO SCR.,GENOVA P.PRINCIPE
7.0,1.0
2.5,7.0
2.5,-4.5
1.5,-4.0
9.5,4.0
1.0,-5.5
1.5,-5.0
2.5,-3.5
2.5,-4.0
1.0,-6.0
8.0,3.5
27.0,20.5
6.5,0.0
10.0,3.5
2.5,-4.0
1.0,-5.5
5.5,1.0
26.5,35.0
4.0,-1.5
6.5,1.5
1.5,-5.0
5.5,-0.5
5.5,-0.5
1.5,-3.0
10.0,7.5
-0.5,-4.0
5.0,7.0
3.0,7.5
5.0,-1.0
4.0,-2.0
4.0,-0.5
12.5,6.5
13.5,8.0
7.5,3.5
2.0,-4.0
3.5,-2.5
2.0,-3.5
2.5,-3.5
1.5,-5.0
4.0,-1.5
2.0,-4.5
10.5,5.0
5.0,-1.5
4.5,-0.5
1.5,-4.5
21.5,15.5
5.5,0.5
1.5,-4.5
2.0,-2.0
11.0,4.0
9.0,3.0
2.0,-3.5
3.0,-2.0
2.5,-3.0
9.5,4.5
6.0,0.5
2.0,-3.0
9.5,3.5
6.5,1.0
0.5,-5.0
4.0,-2.5
5.0,0.0
8.5,3.5
2.0,-4.0
4.0,-3.0
5.0,-1.0
3.0,-2.5
3.0,-2.0
4.0,-2.5
8.0,4.0
1.5,-5.5
1.0,-5.0
15.5,9.5
2.5,-3.5
0.5,-6.0
8.0,1.5
2.0,-4.0
32.0,26.5
24.0,17.5
6.5,-0.5
10.0,5.5
3.5,-1.5
5.0,-1.0
8.0,1.5
2.0,-2.5
8.5,3.0
1.0,-4.5
11.5,6.0
1.0,-4.0
9.0,3.0
2.5,-4.0
0.5,-5.5
8.5,2.0
4.0,-2.0
8.5,2.5
1.0,-5.0
2.0,-4.0
1.5,-5.0
2.5,-3.5
4.0,-1.5
8.5,2.5
4.0,-2.5
4.0,-1.5
8.0,1.5
5.0,4.5
7.0,2.0
7.5,1.0
1.5,-2.5
3.0,-2.5
2.0,-3.5
4.0,-1.5
6.0,-1.5
1.5,-4.5
3.0,-2.0
6.0,-0.5
2.0,-3.5
46.5,40.0
3.5,-2.5
4.5,-1.5
