MILANO LAMBRATE,MILANO GRECO PIRELLI
9.5,10.0
-1.5,0.5
-1.0,2.0
-3.5,0.0
3.5,4.5
0.0,0.5
0.0,1.0
0.0,0.0
1.0,1.0
2.5,5.0
4.0,4.0
10.0,10.5
2.5,2.0
3.5,2.0
1.5,1.5
0.5,4.5
-3.0,0.5
-2.0,-1.5
12.0,17.0
1.5,5.0
14.5,16.0
-0.5,3.0
1.0,1.5
4.0,5.0
0.0,0.0
17.0,24.0
4.0,3.5
0.5,0.0
-2.5,0.0
0.0,-0.5
1.5,2.5
4.0,4.5
-2.5,-0.5
2.0,1.0
2.5,2.0
3.5,4.5
-0.5,1.0
1.5,1.5
1.5,2.0
-2.0,-0.5
1.0,0.5
42.5,42.0
2.0,2.5
13.0,16.0
3.0,3.5
-0.5,1.5
11.5,11.5
0.5,-0.5
-0.5,1.0
2.0,2.0
0.0,1.5
6.5,5.0
8.0,12.5
0.0,-1.5
5.5,3.5
-2.0,-1.0
1.5,1.5
-1.0,2.0
5.0,4.5
-0.5,-0.5
-5.5,-1.0
-2.0,0.5
-1.5,0.0
3.5,8.0
1.5,1.0
-2.0,1.5
-1.5,0.5
-1.0,1.5
-1.0,0.0
16.5,16.5
0.0,0.0
-1.0,-1.5
-0.5,12.0
0.0,3.0
-1.5,-1.0
-1.5,3.0
16.5,18.5
0.5,0.0
0.5,0.5
5.0,4.5
1.0,0.5
-3.0,-1.5
-1.0,1.0
4.0,5.5
-2.0,0.0
1.5,0.5
0.5,0.5
24.0,22.5
-1.5,0.5
0.0,0.0
5.0,4.5
0.5,0.5
-3.0,-1.0
-0.5,0.5
3.0,3.0
-3.0,1.0
4.5,4.5
21.5,20.5
-1.5,-1.5
-0.5,1.5
0.0,3.5
-0.5,0.0
2.5,2.0
1.0,1.5
-1.0,3.5
-1.5,-0.5
3.0,6.0
4.0,5.0
5.0,6.5
1.0,1.0
1.0,4.5
4.0,3.5
-1.5,-1.0
0.0,1.0
0.5,3.0
-2.0,-0.5
-3.0,0.0
0.5,2.0
0.5,1.0
1.5,4.5
-2.5,0.0
3.0,3.0
-1.0,0.0
1.5,0.5
-2.0,-1.0
2.5,3.0
5.5,8.0
10.5,11.0
0.5,1.0
-0.5,1.0
7.5,6.0
-1.0,0.0
1.0,2.0
0.5,-0.5
0.5,0.5
