ORVIETO,CHIUSI C.T.
50.5,49.5
-1.0,-2.0
4.5,6.0
-2.5,-1.0
-3.5,-2.0
-0.5,-0.5
3.5,2.0
5.5,5.5
23.0,22.0
-3.0,-2.0
5.0,3.0
24.0,23.0
-0.5,0.0
-2.5,-0.5
-1.5,0.0
5.5,3.5
9.5,8.5
-2.0,-1.5
19.5,20.5
-1.5,-1.5
9.5,9.0
0.0,-0.5
293.0,293.0
3.0,2.5
7.0,5.0
-2.5,-2.0
5.0,5.0
7.5,5.5
-3.5,3.0
5.0,2.5
-2.5,-1.0
3.0,1.0
21.5,19.5
12.5,12.5
65.5,67.0
2.0,1.0
-2.0,-1.0
22.5,20.5
7.0,5.0
21.5,19.0
1.0,0.0
-3.5,-2.0
0.5,-1.0
-2.0,-2.0
18.5,25.0
5.5,3.5
12.5,11.5
3.5,2.0
0.0,3.0
3.0,1.5
-1.5,-0.5
-1.5,-1.5
-1.0,-1.5
0.0,1.0
6.5,7.5
15.5,14.0
-0.5,0.5
3.0,4.5
-1.5,0.0
6.0,6.0
4.0,2.0
2.0,1.0
20.5,20.5
0.5,0.5
-1.0,-0.5
2.0,1.0
27.5,27.0
7.5,5.5
-2.0,-0.5
-0.5,-1.0
2.0,2.0
0.0,2.5
68.0,66.5
-3.5,-2.5
3.5,2.0
-2.5,-1.5
53.0,51.5
7.0,5.5
20.5,18.5
0.0,2.5
20.5,18.5
-0.5,0.5
46.5,45.5
7.5,6.0
-1.0,-1.5
1.0,-1.5
2.5,2.0
8.0,10.0
8.5,6.0
-2.5,0.0
7.5,5.0
0.5,-1.0
-3.0,-2.0
-0.5,-1.0
4.0,2.0
-1.0,-2.0
6.5,5.0
85.5,84.5
20.5,18.5
10.0,8.0
8.5,8.5
9.5,8.5
-2.5,-1.0
3.5,2.5
2.0,2.0
11.0,12.0
21.0,19.5
9.5,8.0
-2.0,-1.0
1.5,1.0
6.5,4.5
-2.0,-1.0
18.0,16.0
27.5,28.0
13.0,11.0
19.5,17.0
5.5,3.5
4.0,4.0
-2.0,-2.0
23.0,20.5
16.5,15.0
4.5,4.5
-2.5,-1.0
7.5,11.5
-2.0,-2.0
52.0,50.5
-2.0,-0.5
24.0,23.5
-2.0,-1.5
50.0,53.0
-2.5,-2.0
2.5,1.0
25.5,23.0
-3.0,-0.5
9.5,9.0
-3.0,-2.0
26.5,24.5
34.5,32.0
