RHO FIERA MILANO,MILANO CENTRALE
7.0,9.5
5.0,5.5
6.0,5.0
4.0,3.0
12.0,11.0
6.0,4.5
0.5,1.0
7.0,9.0
16.0,20.0
1.5,10.0
2.5,3.0
0.5,1.5
4.5,3.0
8.5,9.0
5.0,3.5
2.5,1.5
7.0,6.5
8.0,6.0
4.5,2.5
4.0,4.5
24.0,25.5
8.0,13.5
4.0,3.0
4.5,4.5
2.5,2.5
10.0,8.0
5.5,7.5
2.5,2.5
4.5,3.5
3.5,4.0
2.5,3.5
7.5,6.5
18.0,21.5
4.5,6.0
25.0,23.0
5.0,3.5
8.0,7.0
3.0,3.5
3.5,2.0
3.5,2.0
20.0,22.0
2.5,1.5
8.0,7.5
4.5,6.0
8.5,8.5
24.5,23.5
31.0,30.0
3.5,3.0
9.5,8.5
8.0,9.0
3.5,3.0
8.5,10.0
5.5,4.5
3.0,2.5
3.0,2.0
2.5,3.5
10.5,23.0
12.5,11.5
4.5,2.5
7.0,6.0
10.5,9.0
3.5,3.0
4.5,3.0
6.5,5.0
30.0,30.0
2.5,4.5
3.5,4.5
7.0,6.5
3.5,2.0
1.5,0.5
7.5,9.0
14.5,26.0
2.5,2.0
2.5,2.5
4.0,3.5
4.0,6.5
2.5,1.0
5.5,5.5
9.5,8.5
3.0,7.5
5.5,5.0
4.0,8.5
1.5,1.0
5.0,13.0
4.5,4.0
2.0,1.5
36.5,44.5
6.0,5.0
6.5,5.5
8.5,11.0
5.0,6.5
14.0,12.5
2.0,2.5
7.5,6.5
9.5,9.5
5.5,5.0
3.0,4.0
5.5,4.5
4.5,5.5
3.5,5.5
13.5,12.5
8.0,7.0
3.0,3.5
5.5,4.5
3.0,5.0
4.0,4.0
4.5,3.0
5.0,5.0
5.5,8.0
2.0,1.0
7.0,12.5
2.0,1.5
6.5,6.0
5.0,4.0
5.0,7.5
5.0,4.0
2.5,9.5
2.0,5.5
0.5,2.5
7.5,8.0
4.0,9.0
5.0,4.0
10.0,8.5
7.0,8.0
8.0,8.5
7.0,6.0
24.0,24.5
8.0,9.0
10.0,9.0
3.5,6.0
5.0,8.0
4.5,4.0
7.0,11.5
3.5,3.0
8.5,9.5
4.5,4.0
28.0,27.5
4.0,4.0
72.0,72.5
3.0,3.5
3.0,3.0
4.0,3.0
6.0,8.0
2.5,8.5
6.0,6.0
2.5,1.5
0.5,0.0
3.0,4.5
1.5,1.5
3.0,5.0
6.0,9.0
