BONFERRARO,CASTEL D`ARIO
3.5,-0.5
3.0,-1.0
2.5,-1.5
5.0,1.0
4.0,0.5
3.0,-0.5
2.0,-1.5
1.5,-2.0
2.5,-1.5
6.0,2.5
5.0,1.5
3.0,-1.0
6.0,2.0
6.5,3.0
3.0,-0.5
4.5,0.5
7.5,3.5
2.0,-1.5
4.5,1.0
6.5,2.5
2.5,-1.5
3.0,-1.0
2.5,-1.5
5.0,1.5
2.5,-1.0
4.5,1.0
13.0,10.0
6.0,2.5
2.5,-1.0
3.0,-0.5
4.0,0.0
4.0,0.0
7.5,4.5
3.5,-0.5
4.0,0.5
4.0,0.5
3.0,-1.5
4.0,0.0
3.5,0.0
5.0,1.5
1.5,-2.5
4.5,0.5
7.0,3.0
4.0,0.5
2.0,-2.0
5.0,1.0
3.0,-1.0
4.0,0.0
2.5,-1.0
7.5,4.5
7.5,4.0
8.5,5.5
6.0,2.5
5.5,2.0
7.0,3.5
5.5,1.5
4.0,0.0
12.5,9.0
3.0,-1.0
5.0,2.0
3.0,-1.0
5.0,1.0
2.0,-1.5
2.5,-1.0
1.5,-2.5
3.0,-0.5
4.0,0.5
3.0,-1.0
2.0,-1.5
2.5,-1.5
5.5,2.0
5.5,1.5
5.0,1.0
2.0,-2.0
1.5,-2.5
1.5,-2.5
2.5,-1.0
3.5,0.0
7.5,4.0
5.5,1.5
2.0,-2.0
4.5,1.0
4.0,0.5
4.5,1.0
4.5,0.5
2.0,-1.5
2.5,-1.0
2.5,-1.5
2.5,-1.5
7.5,5.5
5.5,1.5
4.5,0.5
8.5,5.0
2.5,-1.0
5.0,1.5
3.0,-1.0
5.5,1.5
1.5,-2.5
4.5,0.0
4.0,0.0
2.5,-1.0
4.0,0.5
3.5,0.0
3.0,-1.0
6.5,3.0
3.5,-0.5
4.0,0.5
4.5,1.0
12.5,8.5
3.0,-1.0
3.5,0.0
8.5,5.0
19.5,17.5
1.5,-2.0
1.5,-2.5
6.0,2.0
3.5,0.0
11.0,8.0
7.0,3.5
1.5,-2.5
2.0,-2.0
3.0,-1.0
3.0,-1.0
8.5,4.5
2.5,-0.5
17.5,14.5
8.5,5.0
1.5,-2.0
5.5,1.5
1.5,-2.5
1.5,-2.0
5.0,1.0
4.0,0.5
4.5,1.0
3.0,-1.0
7.5,4.0
3.0,-0.5
3.5,-0.5
2.0,-2.0
2.5,-1.0
2.5,-1.5
1.0,-3.0
3.5,0.0
5.5,2.0
8.0,4.5
2.5,-1.5
1.5,-2.5
3.5,0.0
2.0,-2.0
1.5,-2.0
2.5,-1.5
3.0,-0.5
1.5,-2.5
8.0,4.0
2.5,-1.5
2.0,-1.5
1.0,-3.0
7.0,3.5
5.5,1.5
5.0,1.0
8.0,4.5
5.0,1.0
1.5,-2.5
53.0,50.0
4.5,0.5
7.5,4.0
7.5,3.5
19.0,15.5
4.0,0.0
2.0,-2.0
5.0,1.5
4.0,0.0
8.0,4.0
1.5,-2.0
4.0,0.5
4.5,0.5
2.5,-1.5
4.0,-0.5
3.0,-0.5
7.0,3.5
1.5,-2.5
3.0,-1.5
4.5,0.5
2.0,-1.5
5.0,0.5
4.5,0.5
1.5,-2.0
3.0,-1.0
3.5,-0.5
6.0,2.0
2.0,-2.0
5.0,1.0
5.5,2.0
3.0,-0.5
2.5,-1.0
2.0,-1.5
4.5,1.0
3.5,-0.5
5.5,2.0
6.5,2.5
2.5,-1.0
4.5,0.5
4.0,0.0
10.0,7.0
1.5,-2.0
5.5,2.0
1.5,-2.5
4.0,0.5
4.5,0.5
3.0,-1.0
2.0,-2.0
6.5,2.5
2.0,-2.0
3.0,-0.5
11.0,7.0
41.0,37.0
7.5,4.0
1.5,-2.5
4.0,0.5
5.0,1.5
4.0,0.0
2.0,-1.5
4.0,0.5
3.5,0.0
6.5,3.0
3.5,0.0
3.5,-0.5
21.0,17.0
