BOLOGNA C.LEAV,MILANO CENTRALE
-1.0,-4.5
-1.0,1.0
13.0,11.0
6.0,3.5
13.5,10.5
10.5,6.0
11.5,10.0
10.0,6.5
12.5,6.5
6.5,2.5
13.0,9.5
6.0,8.5
26.5,33.0
2.5,0.0
12.5,10.5
9.5,5.0
5.5,13.0
4.0,2.5
4.0,3.5
-0.5,-1.0
8.0,8.0
4.0,0.5
20.0,14.0
13.0,8.0
8.0,8.5
7.0,3.5
4.5,0.0
45.0,44.5
4.5,2.5
7.0,2.0
3.5,1.5
2.5,-2.5
10.0,13.5
18.5,21.5
8.0,5.0
5.5,2.0
7.5,7.0
17.5,23.0
-3.0,-2.0
8.5,4.5
19.5,14.0
10.0,5.0
-3.0,-7.0
35.0,47.0
38.5,38.0
21.0,19.5
13.0,12.0
9.5,8.5
3.0,8.0
10.5,8.0
17.0,13.0
28.5,36.5
-1.0,-1.5
6.5,7.0
120.0,162.0
11.5,7.0
1.0,2.0
0.0,0.0
3.0,0.5
17.0,13.0
6.5,6.0
15.0,14.0
3.0,1.5
10.5,10.5
3.5,1.5
7.0,3.5
2.5,-3.5
-1.5,2.5
37.0,33.5
12.0,10.5
10.0,6.0
13.0,9.5
6.5,7.0
18.5,14.0
5.0,2.0
-1.5,-1.0
13.5,7.0
42.0,73.0
5.0,2.0
3.5,-0.5
7.0,0.5
15.5,17.0
4.0,-0.5
7.0,3.0
0.5,1.5
4.5,3.0
7.0,8.5
2.5,-1.5
6.5,5.0
16.0,18.0
10.0,6.0
9.0,6.5
6.0,4.5
63.0,59.0
1.5,-2.5
17.5,13.5
7.0,2.5
9.5,6.5
1.5,0.0
2.0,-1.5
0.5,-1.0
6.0,1.0
9.0,7.5
51.0,52.5
44.0,43.0
30.0,36.5
-0.5,-4.0
5.0,3.5
19.5,22.0
4.5,0.5
-2.0,1.0
2.0,3.0
16.5,16.5
5.0,1.5
10.5,7.5
61.0,60.0
17.5,15.5
11.5,8.0
12.5,7.5
17.5,48.5
12.5,11.5
11.0,14.5
10.5,13.5
11.0,7.0
0.0,0.5
34.0,40.0
7.5,5.0
13.0,6.5
3.5,3.0
0.5,-2.5
-2.0,-4.0
9.0,7.0
4.0,56.0
20.5,24.0
-0.5,0.5
11.0,7.5
12.5,10.0
5.0,6.0
15.0,9.0
4.5,3.5
15.5,10.0
22.0,23.0
