ROVERETO,TRENTO
0.5,1.5
-1.0,0.5
1.0,1.0
6.0,9.5
8.0,9.0
33.5,33.5
9.0,11.0
0.0,0.5
-0.5,-0.5
9.5,9.5
8.5,8.5
0.5,1.5
0.0,0.0
1.0,1.5
1.0,2.0
16.0,16.0
2.0,3.0
0.0,0.5
