FERRARA,BOLOGNA C.LEAV
0.0,0.0
5.0,7.5
9.0,4.0
30.0,26.5
0.5,1.0
4.0,6.0
3.5,3.0
3.0,1.0
4.0,6.5
7.5,5.0
10.0,15.5
1.0,5.0
8.0,4.5
8.5,6.0
7.5,9.5
7.5,12.5
18.5,15.0
9.0,8.0
8.5,8.0
9.0,5.5
8.5,3.5
5.0,7.0
4.0,1.5
3.0,1.5
8.0,8.0
13.5,15.0
6.5,14.5
2.0,2.0
7.0,4.5
32.0,31.0
12.0,11.0
-0.5,10.0
15.0,14.0
4.5,2.0
3.5,6.0
6.5,2.5
3.5,0.5
0.0,-1.5
4.5,7.0
9.0,7.0
4.5,1.5
-1.0,0.5
2.0,-1.0
9.5,6.5
5.0,5.0
2.0,1.0
5.0,5.0
3.0,2.5
4.0,2.0
10.5,8.0
8.5,7.0
23.0,25.5
1.0,-2.5
11.5,11.5
0.0,1.5
2.5,0.5
5.5,1.5
3.5,4.0
29.0,31.0
4.5,10.0
4.5,9.0
1.0,1.0
12.0,7.5
11.0,9.5
5.5,6.0
2.5,3.5
-0.5,4.0
3.0,6.5
4.0,2.5
4.0,4.0
3.5,3.0
2.0,1.5
6.5,5.5
5.5,2.0
15.0,13.0
7.0,5.5
7.0,7.5
9.0,6.5
1.0,0.0
2.5,-2.5
18.5,29.5
4.0,3.5
-0.5,2.5
4.0,3.0
11.5,28.0
7.0,21.5
4.5,4.5
1.5,6.0
3.5,0.5
7.5,3.0
4.5,0.5
6.5,5.0
5.5,5.0
0.0,7.5
2.5,-0.5
1.0,6.0
1.5,4.0
7.5,3.5
39.5,34.5
7.0,4.5
4.5,2.0
4.5,6.0
1.5,3.5
36.5,38.0
11.0,7.5
-0.5,2.5
2.5,3.5
1.0,-1.5
6.5,4.5
4.5,1.0
4.5,1.0
4.0,6.5
4.0,3.5
0.0,1.0
-0.5,3.0
2.0,5.0
5.5,7.0
0.5,-0.5
4.0,4.0
7.5,3.5
5.5,4.0
14.5,15.0
58.5,54.0
0.5,8.5
3.5,-0.5
2.5,3.5
3.5,4.0
2.0,2.5
2.0,4.5
5.0,0.5
5.0,2.5
7.5,5.0
9.0,6.5
7.5,7.0
4.0,2.0
6.0,5.5
11.0,9.5
4.0,8.0
6.0,9.5
10.0,8.5
10.0,6.5
11.5,8.0
7.5,5.5
7.0,5.0
2.5,3.0
0.5,7.0
5.5,7.5
9.5,15.0
6.0,10.5
9.0,13.0
3.5,0.5
0.5,1.5
0.0,-2.5
3.0,5.0
4.5,6.0
21.5,20.5
-0.5,3.0
3.0,2.5
9.0,7.5
4.0,7.0
0.0,2.0
8.5,6.5
10.5,8.0
-0.5,4.0
6.5,7.5
