MONTESANTO,GAIBANELLA
-1.0,-1.0
-1.5,-0.5
-0.5,0.0
-2.0,-0.5
24.5,24.5
-3.0,-1.0
0.0,0.5
-1.0,-0.5
0.0,-0.5
-0.5,0.0
-1.5,-0.5
-1.0,-0.5
-2.0,-2.0
2.5,2.0
-1.0,0.0
-1.0,0.0
0.0,-0.5
-2.0,-1.5
-1.0,0.0
-0.5,-1.0
-1.0,-0.5
0.0,1.0
-1.0,-1.0
-0.5,-1.0
-1.0,-0.5
-1.0,-1.0
-2.0,-1.0
0.0,-1.0
-1.0,-0.5
-1.0,-0.5
-0.5,-0.5
-1.0,-1.5
-0.5,-1.0
1.0,0.0
-1.5,-0.5
-2.0,-0.5
1.0,0.0
1.0,0.0
1.0,0.5
-0.5,-0.5
-1.5,0.0
0.0,-0.5
-0.5,0.0
-0.5,-1.0
39.0,44.0
-2.0,-1.5
0.5,0.5
-1.0,-0.5
1.5,1.0
-0.5,-0.5
0.5,0.0
-1.0,-1.0
0.5,-0.5
12.5,13.0
-0.5,1.0
8.5,8.0
-1.5,-0.5
-2.0,-1.0
-1.0,0.5
3.5,2.0
-0.5,-0.5
2.0,0.5
0.5,-0.5
-0.5,0.5
-1.5,-0.5
-0.5,0.0
8.5,9.0
-1.5,-0.5
-1.5,-1.0
1.0,0.0
0.0,6.5
0.0,-1.0
0.0,-0.5
-1.5,-1.0
-0.5,-0.5
3.5,2.5
-1.5,-0.5
-1.0,-0.5
0.5,-0.5
-0.5,0.0
-1.0,0.0
-0.5,-0.5
-1.0,0.0
-0.5,-0.5
-1.0,-1.0
-1.5,-1.0
-1.5,0.0
4.5,4.5
-1.0,-0.5
-0.5,-1.0
0.0,0.0
-1.0,-0.5
-1.0,-0.5
-1.5,-1.0
0.5,-0.5
-0.5,0.0
-0.5,0.0
0.5,0.0
-0.5,-0.5
7.0,7.5
4.5,3.5
-1.0,-1.0
-1.5,-1.0
-0.5,-0.5
-0.5,0.0
2.0,1.0
-1.5,-1.0
0.0,-0.5
-0.5,-0.5
1.5,0.5
-1.0,-0.5
-1.5,-1.0
-1.0,-1.0
-2.0,-1.0
0.5,-1.0
-2.0,2.0
6.0,4.5
