ROMANO,CHIARI
2.5,3.5
4.5,4.0
0.0,0.0
9.0,12.5
13.5,15.0
9.5,10.5
0.0,-1.0
17.0,19.0
5.5,6.0
-0.5,-1.5
6.0,7.0
1.5,1.0
8.0,7.0
-1.5,-1.0
21.0,21.0
10.5,11.0
11.0,11.0
5.0,5.5
0.0,-1.5
1.5,1.5
11.5,16.0
1.0,0.0
1.5,1.5
8.0,9.0
4.0,4.0
8.0,8.0
5.5,5.0
-1.5,-0.5
11.0,12.0
3.5,3.0
2.5,1.5
5.0,6.0
2.0,4.0
5.0,5.0
29.5,29.5
4.0,4.5
5.0,5.0
8.0,7.0
1.5,1.0
1.5,1.5
19.5,19.5
0.5,5.0
2.0,3.0
36.5,36.5
16.5,16.0
9.5,9.0
11.5,12.5
4.5,4.5
2.0,2.5
5.5,6.5
0.5,0.5
2.5,2.0
8.0,9.0
-0.5,0.5
27.0,31.5
3.0,7.0
11.0,12.5
4.5,7.0
20.5,21.5
2.5,2.5
28.0,28.0
3.5,2.5
0.5,1.0
9.0,12.5
2.0,1.0
7.0,8.0
12.5,13.5
14.0,14.0
5.5,6.0
2.5,4.0
2.0,2.0
5.5,7.5
1.5,3.5
-0.5,0.0
1.5,0.5
1.5,2.0
2.0,3.0
-1.5,-1.5
28.0,28.0
6.5,8.0
1.0,1.5
11.0,10.5
-1.0,-1.0
3.0,2.5
1.0,1.5
1.5,1.5
9.5,12.0
12.0,11.5
5.0,5.5
14.0,14.5
3.0,5.0
12.0,13.0
19.0,18.0
5.0,6.0
7.0,12.0
6.5,7.0
4.0,4.5
6.0,5.5
7.0,7.0
22.0,21.0
1.0,0.0
6.0,7.0
14.0,15.0
9.0,18.5
13.0,13.5
4.0,5.0
7.0,8.0
11.5,11.0
3.5,3.5
13.5,14.0
-1.0,-2.0
11.5,13.5
11.5,12.5
5.0,5.0
4.5,4.5
9.0,10.0
11.5,12.0
0.5,0.0
14.0,15.0
16.0,25.5
36.0,34.5
-0.5,0.0
7.5,8.0
3.0,4.0
2.5,2.0
2.5,2.5
7.0,7.0
10.0,9.5
4.5,6.0
6.5,7.0
6.0,6.0
3.5,3.5
10.0,25.0
0.5,1.0
1.5,1.5
24.0,24.0
2.0,1.5
7.5,8.5
20.0,20.5
11.5,13.0
1.0,1.5
