JESI,FABRIANO
-2.0,2.5
-2.5,7.5
-2.0,-0.5
1.5,4.0
-2.5,7.0
-2.0,0.0
0.0,3.5
-2.0,1.0
1.5,9.5
4.0,2.5
-0.5,13.5
-0.5,8.5
-3.0,2.0
0.0,2.0
-0.5,-1.0
-1.5,3.0
-3.0,3.0
2.5,9.0
-2.0,6.0
-0.5,2.5
-1.5,3.0
-2.0,4.5
31.0,34.5
-0.5,2.0
-2.0,0.5
5.0,25.5
-1.0,5.0
2.0,6.0
8.0,15.0
-3.0,0.0
-2.5,4.5
-2.5,5.0
1.0,9.0
-0.5,2.0
-0.5,1.5
1.5,4.0
-3.5,0.5
1.5,0.5
1.0,1.5
-3.0,-0.5
-3.5,2.0
-2.5,-1.5
2.5,3.5
-2.5,1.0
1.0,18.5
0.0,3.0
0.0,-0.5
-3.0,4.0
4.0,7.0
-2.0,3.0
5.0,4.0
-3.0,1.0
2.5,2.5
1.0,2.0
-3.0,7.5
-1.5,8.5
0.5,3.0
-2.0,1.0
1.0,4.5
-3.0,6.5
-3.0,9.5
-2.0,-1.5
-1.5,-1.5
-2.5,5.5
-2.5,4.0
-0.5,3.5
0.5,3.5
0.0,-1.0
-1.5,-0.5
-2.5,3.0
0.5,11.5
-2.5,25.5
-2.5,6.5
-1.5,1.0
-2.5,2.0
-3.0,3.0
-0.5,6.5
3.0,11.5
0.0,8.5
-2.5,0.5
-1.5,3.0
1.0,7.0
-0.5,-2.0
8.5,11.5
1.0,3.5
-2.0,0.0
-1.5,0.0
0.5,1.5
3.5,3.0
0.5,6.5
-1.0,18.5
-1.0,14.5
-2.5,4.0
-2.5,0.5
-1.5,1.0
0.5,0.5
1.5,8.0
0.0,7.0
3.5,1.5
-1.0,2.5
-2.0,10.5
-1.5,1.0
-1.0,2.5
1.0,5.0
-0.5,0.0
-1.0,3.0
-2.5,6.5
-2.5,2.0
5.5,11.0
-2.5,3.0
-2.0,5.5
31.5,52.5
-2.0,10.0
5.5,4.5
-0.5,1.0
2.5,6.5
2.0,1.0
-3.0,4.5
-2.0,4.5
1.5,3.5
1.5,1.5
-2.0,2.5
-1.5,-1.0
-1.5,19.0
-0.5,3.0
-2.5,-2.5
5.5,15.0
-1.0,6.5
-1.5,48.0
-2.0,4.0
-2.5,-2.0
-1.5,4.5
-1.5,2.5
-1.0,0.0
-2.5,8.0
-2.5,0.0
5.0,12.0
23.5,28.5
10.5,10.5
-3.5,1.5
-1.0,0.0
-0.5,1.0
2.5,10.5
9.0,10.0
0.5,11.0
-2.5,-0.5
0.5,10.5
4.0,8.0
-3.0,-0.5
-3.0,4.0
-1.0,7.5
